Original,Translate,Translate_GPT_1
Sì c’or me ne par essere in bilanza.,Ahora me parece que está en peligro.,Ahora me parece que está en peligro.
"E tutto ciò m’à fatto quello strano,",¡Y todo esto me hizo ese salvaje!,¡Y todo esto me hizo ese bárbaro!
"Ma di lui mi richiamo a Pietanza,","Pero apelaré a Misericordia sobre él,",Voy a apelar a la compasión sobre él.
Che vengha a•llui collo spunton in mano.,Para que pueda enfrentarlo con la lanza en la mano.,Para que pueda enfrentarlo con la espada en la mano.
"Se mastro Arghùs, che fecie la nave,","Si el Maestro Argus, que construyó la nave","Si el Maestro Argus, que edificó la nave"
"In che Giasòn  andò per lo tosone,","que Jason estaba buscando el Pulga de Oro,",que Jason buscaba la Joya de Oro
"E fecie a conto regole, e ragione,",y que inventaron las reglas y la lógica para el cálculo,y que han ideado las normas y la sensatez para el cálculo
"E le diecie figure, com’on save,","y los diez signos numéricos, como todo el mundo sabe,","Y los diez símbolos numéricos, como todos sabemos, son"
"Vivesse,  gli sarebe forte e grave","Si estuviera vivo, sería difícil para él.","Si fuera viviente, sería difícil para él."
"Multiplicar ben ognie mia quistione,",para calcular todos los problemas,"Explorar, computar, todas las preguntas."
"C’Amor mi move sanza mesprigione,","Que el amor me da, sin errores.","que el Amor me confiere, sin equivocaciones."
"E di ciascuna porta esso la chiave,","Y sin embargo, por cada puerta a la salida,","Sin embargo, para cada entrada está su llave."
Ed àllemi nel cor fermate e messe,Y ella los puso en mi corazón,Ella los imprimió en mi alma.
"Con quella chiavicella, ch’i’ v’ò detto,",Con la llave que les dije.,con la llave que les señalé.
Per ben tenermi tutte sue promesse.,para cumplir todas sus promesas a mí.,para cumplir todos sus compromisos conmigo.
"Perch’io a•ssue merzé tuttor mi metto,",Por eso siempre estoy dispuesto a hacer sus órdenes;,Por eso siempre estoy listo para ejecutar sus órdenes;
"Ma ben vore’ che, quando gli piaciesse,","Sin embargo, me gustaría para él - cada vez que quiera -","Sin embargo, deseo para él - cada vez que anhela -"
"E’ m’allegiasse il mal, che•ssì m’à stretto.",para aliviar el dolor que me conquistó.,Para mitigar el tormento que me atacó.
"Dogliendomi in pensando del villano,",Pensando tristemente en la salvaje,Reflexionando malévolamente sobre la salvaje
"Che•ssì vilmente dal Fior m’à lungiato,","que tan salvajemente me persiguió desde la Flor,","que tan ferozmente me persiguió desde la Flor,"
"Ed i’ mi riguardai dal dritto lato,",Miré a mi lado derecho,Examiné mi flanco derecho
"E sì vid’i’ Ragion, col viso piano,","Y vi la razón, que con la cara tranquila,","Vi la lógica, que, con una expresión serena,"
"Venir verso di me, e per la mano","Viene hacia mí, me cogió de la mano.","Se está acercando a mí, me agarró de la mano."
Mi prese e disse: «Tu•ssè sì smagrato!,"Me tomó y dijo: ""¡Te has vuelto tan sutil!","Me agarró y dijo: ""¡Te has vuelto tan flaco!"""
I’ credo che•ttu à’ troppo pensato,Creo que pensaste demasiado.,Creo que meditaste demasiado.
"A que’, che•tti farà gittar in vano,",Hablando de lo que te hace trabajar en vano:,En relación con lo que te hace trabajo inútil.
"Ciò è Amor, a chui dat’ài fidanza.","Esa persona es el Amor, al que le has dado fidelidad.","Esa persona es el Afecto, al que le has dado lealtad."
"Ma•sse m’avessi avuto al tu’ consiglio,","Pero si hubiera escuchado mi consejo,","Si hubiera seguido mi sugerencia,"
"Tu non saresti gito co•llui a danza,",No ibas a bailar con él.,No ibas a bailar con él.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",Porque puedes estar seguro de que lo que él agarra,Porque puedes estar seguro de que lo que él dice
"Egli ’l tiene in tormento e malenanza,","Él se mantiene en el tormento y el dolor,",Él se mantiene en el tormento y en el sufrimiento.
Sì che su’ viso non è ’n mai vermiglio».,De tal manera que su rostro nunca será rojo.,de tal manera que su cara nunca será rubiconda.
Udendo che Ragion mi gastigava,Sentir que la razón me estaba regañando,Escuchar que la lógica me estaba regañando
"Perch’i’ al Die d’Amor era ’nservito,","por mi esclavitud al Dios del Amor,","Por mi devoción al Dios del Afecto,"
"Di ched i’ era forte inpalidito,","Así que me había puesto tan pálido,","Así que me había puesto tan pálido,"
"E sol perch’io a•llui troppo pensava,","Y sólo porque pensé demasiado en él,",Sólo porque he pensado demasiado en él.
"I’ le dissi: «Ragion, e’ no•mi grava","Le dije: ""Por qué, el dolor que inflige no pesa.""","Le dije: ""Razón, el tormento que causa no es gravoso."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","sobre mí, porque pronto me curaré,","sobre mí, porque pronto recuperaré."
Ché questo mio signior lo m’à gradito».,Porque este señor mío me lo ha prometido,Porque este soberano mío me lo ha garantizado.
"E ch’era folle se più ne parlava,",Y esa razón era una locura si seguía hablando de ello.,Y esa motivación estaba loca si persistía en discutirlo.
"«Chéd i’ son fermo pur di far su’ grado,",Porque sólo estoy dispuesto a complacerlo.,Porque sólo estoy listo para satisfacerlo.
Perciò ch’e’ mi promise fermamente,Desde que me dio promesas sólidas.,Desde que me dio garantías concretas
"Ched e’ mi metterebe in alto grado,","que me pondría en un lugar alto,",que me colocaría en una posición elevada.
Sed i’ ’l servisse bene e lealmente».,Si le sirves bien y fielmente.,Si lo sirviera de buena manera y lealmente.
"Perché di lei i’ non pregiava  un dado,","Así que no me importaba en absoluto,",Así que no me importaba nada de ella.
Né su’ consiglio i’ non teneva a mente.,No me acordé ni seguí su consejo.,No he recordado ni obedecido su sugerencia.
"Ragion si parte, udendomi parlare.","Después de escucharme hablar, la razón se va,","Después de escucharme hablar, la razón se va,"
E’ me fu ricordato ch’i’ avea,Y recordé que tenía,Me di cuenta de que tenía
"Un grande Amico, lo qual mi solea","un amigo leal, que por lo general me consolaba",Un aliado fiel que solía consolarme.
"In ognie mio sconforto confortare,",Cada vez que me sentía incómodo.,Cada vez que me preocupaba
"Sì ch’i’ no ’l misi guari a ritrovare,",Lo encontré muy rápido.,Lo encontré bastante rápido.
E disigli com’e’ si contenea,y le dijo cómo se comportaba,"Y le dijo cómo se comportaba: actuaba, operaba."
"Lo Schifo ver’ di me, e ch’e’ parea","la resistencia hacia mí, y que parecía","La resistencia contra mí, y que parecía"
Ch’al tutto mi volesse guereggiare.,No quería nada mejor que pelear conmigo.,Todo lo que quería era pelear conmigo.
"E que’ mi disse: «Amico, sta sicuro,","Y me dijo: ""Amigo, no te preocupes,","Y me dijo: Camarada, no temas,"
Ché quello Schifo si à senpre in usanza,para él es Resistencia Clostridi personalizado,para él es Resistencia Clostridi personalizada
Ch’a cominciar   si mostra acierbo e duro.,para ser amargo y duro al principio.,Ser amargo y rígido inicialmente.
Ritorna a•llui e non abie dottanza,Volved con él y no tengáis miedo:,Vuelvan a él y no teman.
"Con umiltà tosto l’avra’ maturo,","Al mostrar humildad, pronto lo suavizarás,","Actuando humildad, lo ablandarás rápidamente."
Già tanto non par   fel né san’ pietanza».,No importa lo cruel y despiadado que parezca.,No importa lo brutal e implacable que parezca.
Tutto pien d’umiltà verso ’l giardino,Lleno de mansedumbre me volví hacia el jardín,Lleno de apacibilidad me volví hacia el jardín.
"Torna’mi, con’ Amico avea parlato,","Como Amigo dijo que debía,","Como Amigo sugirió que debía,"
"Ed i’ guardai, e sì ebi avisato",Y miré y vi,Examinado y pasado
"Lo Schifo, con un gran baston di pino,","Resistencia, con un gran club hecho de pino,","Resistencia, con una enorme asociación de pino."
"Ch’andava riturando ognie camino,","que bloqueaba cada paso,",que obstaculizaba todo progreso.
Che dentro a forza non vi fosse ’ntrato.,Para que no pudiera entrar.,Para que no pudieras entrar.
"Sì ch’io mi trassi a lui, e salutato",Así que me acerqué y le saludé.,Así que me acerqué y le saludé cordialmente.
"Umile mente l’ebi a capo chino,","Mansualmente con la cabeza doblada,",Suavemente con la cabeza inclinada.
"E sì gli dissi: «Schifo, agie merzede","Y le dijo: Aguanta, ten piedad","Y le dijo: Tenacia, ten misericordia"
"Di me, se ’nverso te feci alcun fallo,","sobre mí, si te he hecho daño,","sobre mí, si te causé dolor."
"Chéd i’ sì son venuto a pura fede,",porque he venido de buena fe,Porque vine en buena voluntad.
"A tua merzede,   e presto d’amendarlo».","para pedir su misericordia, y estoy listo para hacer las paces.","Suplicar su clemencia, y estoy dispuesto a hacer penitencia."
"Que’ mi riguarda, e tuttor si provede","Me mira fijamente y, como lo hace, trata de determinar","Me mira fijamente y, como lo hace, trata de establecer"
Ched i’ non dica ciò per inghanarlo.,Si lo digo para engañarlo.,Si lo digo para engañarlo.
Sì com’i’ stava in far mia pregheria,Mientras suplicaba por mi caso,Cuando le rogué a mi destino
"A quel fellon, ch’è sì pien d’arditeza,","a ese cruel que es tan imprudente,",A ese malvado que es tan imprudente.
"Lo Dio d’Amor sì vi mandò Francheza,",el Dios del Amor ha enviado sinceridad y con su misericordia,El Divino del Afecto ha enviado sinceridad y con su compasión.
"Co•llei Pietà, per sua anbascieria.",En una misión especial en ese lugar.,en una empresa extraordinaria en esa zona.
"Francheza   cominciò la dicieria,","La sinceridad comenzó su discurso,",La franqueza ha inaugurado su discurso.
"E disse: «Schifo, tu•ffai straneza","diciendo: Resistencia, eres más grosero","Si te opones, eres más brusco."
"A quel valletto, ch’è pien di largheza,",A ese joven vasallo tan generoso,A ese joven sirviente tan magnánimo.
"E prode, e franco, sanza villania.","y valiente y valiente, y ciertamente no vulgar.","Audaz e intrépido, y sin duda no incómodo."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,El Dios del Amor quiere que sepas,El Divino del Afecto desea darte a conocer
"Che•ttu non sie sì strano al su’ sergiente,","para no ser tan grosero con su siervo,","Para no ser tan brusco con su siervo,"
"Ché gran peccato fa, chi lui inpaccia;","Porque el que le impide, comete un gran pecado,",Porque el que lo impide comete una grave culpa.
Ma sòffera ch’e’ vada arditamente,Pero déjalo ir libremente.,Pero déjalo ir libremente.
"Per lo giardino, e no ’l metter in chaccia,","en el jardín, no lo eches","en el jardín, no lo expulses"
"E guardi il Fior, che•ssì gli par aolente».",Y déjelo ver la flor que le parece tan fragante.,y lo deja observar la flor que le parece tan perfumado.
"Pietà cominciò poi su’ parlamento,",Misericordia entonces comenzó su discurso,Entonces piedad comenzó su discurso
"Con lagrime bagniando il su’ visagio,",con lágrimas que mojan su cara,con lágrimas que humedecen su rostro
"Diciendo: «Schifo, tu faresti oltragio","diciendo: ""Resistencia, tú harías desacato""","Si te enfrentas, te ofenderás."
Di non far grazia al meo domandamento.,Si no acepto mi petición.,Si no acepto mi súplica.
Pregar ti fo che•tti si’a piacimento,"Te lo suplico, puedes encontrarlo.",Te lo suplico para que puedas descubrir
"Ch’a quel valletto, ch’è•ssì buon e saggio,","No seas tan cruel con ese joven vasallo,",No seas tan despiadado con ese joven sirviente.
"Tu non sie verso lui così salvaggio,",Tú no eres tan malo para con él.,No eres tan malo con él.
Ché sai ch’e’ non à mal intendimento.,Porque sabes que no tiene malas intenciones.,Porque te das cuenta de que no tiene intenciones maliciosas.
"Or avén detto tutto nostr’affare,","Ahora, les hemos dicho nuestras preocupaciones,","Ahora, hemos expuesto nuestras ansiedades,"
"E la cagion, per che no’ siàn venute.",y la razón por la que vinimos:,y la razón por la que llegamos:
Molt’è crudel chi per noi non vuol fare!,¡Es cruel el que no hará lo que pedimos!,¡Crudencialmente indiferente es aquel que no hará lo que pedimos!
Ancor ti manda molte di salute,Aún te manda saludos.,Aún te envía sus más cordiales saludos.
"Il lasso, chu’ ti piaque abandonare.",El pobre que te gustó abandonar,El desgraciado que te gustaba abandonar
Fa che nostre preghiere gli sian valute!».,¡Que nuestras oraciones le ayuden!,¡Que nuestras súplicas le ayuden!
"Lo Schifo disse: «Giente messagiere,","La resistencia dijo: ""Mensajeros nobles,","""La resistencia proclamó: ""Embajadores ilustres, """
Egli è ben dritto ch’a vostra domanda,Es justo que acceda a su petición.,Es justo que yo cumpla con su pregunta.
"I’ faccia grazia, e ragion lo comanda,","Y hágalo con gracias, la razón lo ordena,","Y hágalo con cortesía, la lógica lo requiere."
"Ché voi non siete orgolliose né fiere,","porque no sois vanos ni orgullosos,",Porque no sois ni presuntuosos ni arrogantes.
Ma siete molto nobili parliere.,Pero ustedes son unos oradores muy nobles.,Pero sois unos habladores muy ilustres.
"Vengha il valetto, e vada, a sua comanda,","El joven puede venir e ir a voluntad,",El joven puede llegar y partir a su gusto.
"Ma non ched egli al Fior   sua mano ispanda,","pero con la condición de que no intentes tocar la Flor,","Sin embargo, siempre y cuando no intente manipular la Flor."
"Ch’a•cciò no•gli varrian vostre preghiere,",Porque tus oraciones no le ayudarán,Porque tus súplicas no le ayudarán
"Perciò che•lla figluola Cortesia,","Por eso la hija de Lady Courtesy,","Por eso la prole de Lady Courtesy,"
"Bellacoglienza, ch’è dama del Fiore,","Hermosa acogida, que es responsable de la Flor,","Aceptado, que es responsable de la Flor."
Sì ’l mi porebe a gran ricredentia.,Pensé que mis modales.,Pensé que mis modales eran amables.
Ma fate che•lla Dama al Die d’Amore,Pero hagan que la dama del Dios del Amor,Haga que la señora del Dios del Afecto
Faccia a Bellacoglienza pregheria,Haga una llamada a Belaccoglieza,"Haga una llamada a Magnificencia, Esplendor y Avenencia."
"Di lui, e che•lle schaldi un poco il core».",de modo que su corazón se puede calentar un poco.,para que su corazón pueda revivirse un poco.
"Quand’i’ vidi lo Schifo sì adolzito,","Cuando vi cómo la Resistencia estaba desmoronada,","Cuando vi cómo la Resistencia estaba ablandada,"
"Che solev’esser più amar che fele,",que por lo general era más amargo que el fiel,que por lo general era más ardiente que el veneno
"Ed i’ ’l trova’ vie più dolcie che mele,","pero que encontré mucho más dulce que la miel,",pero que encontré más delicioso que la miel.
Sapiate ch’i’ mi tenni per guerito.,Deberías saber que me consideraba curada.,Deberías saber que me consideraba sanada.
Nel giardin me n’andai molto gichito,Me fui al jardín muy sumiso,Me fui al humilde jardín.
"Per dotta di misfar a quel crudele,","por miedo a ofender a ese cruel,",Temoroso de golpear a ese malvado.
E gli giurai a le sante,Y le juré por los santos,Y le prometí solemnemente
Ch’e’ per me non sarebe mai marrito.,que nunca habría estado angustiado.,"que, nunca sufriría ansiedad."
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Entonces me dijo: ""De verdad quiero que vengas.""","Entonces me dijo: ""Deseo ardientemente que vengas."""
"Dentr’al giardin[o], sì com’e’ ti piace,","En el jardín, ya que te gusta,","en el interior del jardín, ya que te gustaba."
Ma’ che lungi dal Fior le tue man tenghi.,Siempre y cuando mantengas tus manos lejos de la Flor.,Siempre y cuando no toques la Flor.
Le buone donne fatt’ànno far pacie,Las buenas mujeres han establecido la paz,Las mujeres amables han establecido la tranquilidad.
"Tra me e te: or fa che•lla mantenghi,",entre tú y yo: ahora asegúrate de mantener,tú y yo: ahora asegúrate de preservar
Sì che verso di me non sie fallacie».,para no traicionar mi confianza.,Para que no rompa mi lealtad.
"Venusso, ch’è socorso degli amanti,","Venus, que viene a rescatar a los enamorados,","Venus, que acude en ayuda de los amantes,"
"Ven’ a Bellacoglienza col brandone,","Vino de la recepción de Bell con una linterna,",Llegó de Bell con una linterna.
"E’ si rechava,   a guisa di penone,",que sostenía como una lanza,que abrogaba como una lanza
Per avanpar chiunque l’è davanti.,Para prender fuego a todos los que conoce.,Incendiar a todos los que conoce.
"A voler racontar de’ suo’ senbianti,",Queriendo contarle sus apariencias.,Describa sus apariencias
"E de la sua tranobile fazone,","y su noble disposición,","y su ilustre inclinación,"
Sarebe assai vie più lungo sermone,Tardaría mucho más en decirlo.,Se necesitaría mucho tiempo para expresarlo.
Ch’a sermonar la vita a tutti i santi.,que contar la vida de todos los santos.,narrar la biografía de cada santo.
Quando Bellacoglienza sentì ’l caldo,Cuando Bell recepción sintió el calor,Cuando Bell recepción percibido el cálido
"Di quel brandon,   che così l’avanpava,","de esa antorcha que la quemaba,",de esa linterna que la hacía brillar.
Sì tosto fu ’l su’ cuor col mio saldo.,"En seguida, su corazón se unió al mío.",Inmediatamente su corazón se acostó con el mío.
"E Venusso, ch’a•cciò la confortava,","y Venus, que la exhortaba a esto,","Y Venus, que la incitaba a esto,"
"Si trasse verso lei col viso baldo,",Se acercó a ella con la cara poderosa,Se acercó a ella con una cara imponente.
Diciendo che ve•me troppo fallava:,Dijo que estaba mal por mí.,Afirmando que era responsable de mí.
"«Tu falli tropo verso quell’Amante,»","Venus dijo: ""Estás cometiendo un gran error con esa amante",Venus declaró: Estás cometiendo un gran error con esa amante.
"Disse Venusso «che cotanto t’ama,",dijo Venus que te ama tanto;,Dijo Venus que te adoraba mucho.
"Néd i’ non so al mondo sì gran dama,",No conozco a ninguna gran dama del mundo.,No conozco a ninguna mujer importante en el mundo.
"Che di lui dovess’eser rifusante,",que de él se negara:,que de él tuviera que rechazar
"Ch’egli è giovane, bello e avenante,","porque es joven, hermoso y encantador,","porque es joven, atractivo y seductor."
"Cortese, franco e pro, di buona fama:","Cortesía, leal, audaz y bien respetado.","afable, fiel, atrevido y bien estimado."
"Promettili un basciar, e a•tte ’l chiama,",Prométele un beso y llámalo.,Prométele un beso e invitalo a ti.
