Original,Translate,Translate_GPT_1
Sì c’or me ne par essere in bilanza.,Jetzt scheint er in Gefahr zu sein.,Jetzt scheint er in Gefahr zu sein.
"E tutto ciò m’à fatto quello strano,",Und all das hat mir diesen Wilden angetan!,Und all das hat mir diesen Barbaren angetan!
"Ma di lui mi richiamo a Pietanza,","Aber ich appelliere an Barmherzigkeit über ihn,","Ich werde an ihn appellieren, barmherzig zu sein."
Che vengha a•llui collo spunton in mano.,damit er mit dem Speer in der Hand gegen ihn kämpfen kann.,damit ich ihm mit dem Schwert in die Faust treten kann.
"Se mastro Arghùs, che fecie la nave,","Wenn Meister Argus, der das Schiff gebaut hat","Wenn Meister Argus, der das Schiff gebaut hat"
"In che Giasòn  andò per lo tosone,","Jason suchte den Goldenen Pussy,",Jason suchte das Goldene Juwel
"E fecie a conto regole, e ragione,",und die die Regeln und die Logik für die Berechnung erfunden haben,und die die Regeln und die Vernünftigkeit für die Abrechnung entwickelt haben
"E le diecie figure, com’on save,","und die zehn numerischen Zeichen, wie jeder weiß,","Und die zehn numerischen Symbole, wie jeder weiß, sind"
"Vivesse,  gli sarebe forte e grave","Wenn er am Leben wäre, wäre es schwer für ihn.","Wenn er lebte, wäre es schwer für ihn."
"Multiplicar ben ognie mia quistione,",um alle Probleme zu berechnen,"Erforschen, berechnen, alle Fragen."
"C’Amor mi move sanza mesprigione,","Die Liebe gibt mir, ohne Fehler.","die mir die Liebe gibt, ohne Fehler."
"E di ciascuna porta esso la chiave,","Und doch, für jede Tür zum Ausheben des Schlüssels,",Allerdings gibt es für jeden Eingang seinen Schlüssel.
Ed àllemi nel cor fermate e messe,Und sie hat sie in mein Herz gelegt.,Sie hat sie in meine Seele eingeprägt.
"Con quella chiavicella, ch’i’ v’ò detto,","mit dem Schlüssel, den ich euch gesagt habe","mit dem Schlüssel, den ich euch gezeigt habe"
Per ben tenermi tutte sue promesse.,Um all seine Versprechen an mich zu halten.,Um all seine Verpflichtungen mit mir zu erfüllen.
"Perch’io a•ssue merzé tuttor mi metto,","Deshalb bin ich immer bereit, seine Befehle zu machen;","Deshalb bin ich immer bereit, seine Befehle auszuführen;"
"Ma ben vore’ che, quando gli piaciesse,",Allerdings möchte ich für ihn - wann immer er will -,Allerdings wünsche ich für ihn - wann immer er will -
"E’ m’allegiasse il mal, che•ssì m’à stretto.","um den Schmerz zu lindern, den er mir angetan hat.","Um die Qual zu lindern, die mich angegriffen hat."
"Dogliendomi in pensando del villano,",Traurig über die Wildnis nachdenken,Über die Wildnis nachdenkend
"Che•ssì vilmente dal Fior m’à lungiato,","der mich so wild von der Blume jagte,","der mich so heftig von der Blume verfolgt hat,"
"Ed i’ mi riguardai dal dritto lato,",Ich schaute auf meine rechte Seite,Ich schaute mir meine rechte Seite an.
"E sì vid’i’ Ragion, col viso piano,","Und ich sah den Grund, dass, mit dem ruhigen Gesicht,","Ich sah die Logik, die, mit einem ruhigen Ausdruck,"
"Venir verso di me, e per la mano","Er kommt zu mir, er hat mich erwischt.","Er nähert sich mir, er packte mich an der Hand."
Mi prese e disse: «Tu•ssè sì smagrato!,"Er nahm mich und sagte: ""Du bist so dünn geworden!","Er ergriff mich und sagte: ""Du bist so dünn geworden!"""
I’ credo che•ttu à’ troppo pensato,"Ich glaube, du hast zu viel nachgedacht.","Ich glaube, du hast zu viel nachgedacht."
"A que’, che•tti farà gittar in vano,","Über das, was dich umsonst arbeiten lässt:","In Bezug auf das, was dich nutzlos macht."
"Ciò è Amor, a chui dat’ài fidanza.","Diese Person ist die Liebe, der du Treue gegeben hast.","Diese Person ist der Affekt, dem du Loyalität gegeben hast."
"Ma•sse m’avessi avuto al tu’ consiglio,","Aber wenn ich auf meinen Rat gehört hätte,","Wenn ich meinem Vorschlag gefolgt wäre,"
"Tu non saresti gito co•llui a danza,",Du würdest nicht mit ihm tanzen gehen.,Du wärst nicht mit ihm tanzen gegangen.
"Ché sie ciertano,   a chu’ e’ dà di piglio,","Weil du sicher sein kannst, dass das, was er packt","Denn du kannst sicher sein, dass das, was er sagt,"
"Egli ’l tiene in tormento e malenanza,","Er hält sich in Qual und Schmerz,",Er bewahrt sich in Qual und Leiden.
Sì che su’ viso non è ’n mai vermiglio».,So daß sein Gesicht nie rot sein wird.,So dass sein Gesicht nie stehlen wird.
Udendo che Ragion mi gastigava,"Das Gefühl, dass die Vernunft mich zurechtgewiesen hat","Zu hören, dass die Logik mich tadelte"
"Perch’i’ al Die d’Amor era ’nservito,","für meine Knechtschaft dem Gott der Liebe,","Für meine Hingabe an den Gott des Leidens,"
"Di ched i’ era forte inpalidito,","Also war ich so blass geworden,","Also war ich so blass geworden,"
"E sol perch’io a•llui troppo pensava,","Und nur, weil ich zu viel an ihn gedacht habe,",Nur weil ich zu viel über ihn nachgedacht habe.
"I’ le dissi: «Ragion, e’ no•mi grava","Ich sagte zu ihr: ""Motiv, der Schmerz, den sie verursacht, wiegt nicht.""","Ich sagte zu ihr: ""Rasse, die Qual, die sie verursacht, ist nicht schwer."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","über mich, denn ich werde bald gesund werden,","über mich, denn ich werde sofort wiedererlangen."
Ché questo mio signior lo m’à gradito».,Denn dieser mein Herr hat's mir versprochen.,Weil mein Herrscher mir das garantiert hat.
"E ch’era folle se più ne parlava,","Und dieser Grund war verrückt, wenn er weiter darüber redete.","Und diese Motivation war verrückt, wenn sie weiter darüber redete."
"«Chéd i’ son fermo pur di far su’ grado,","Weil ich nur bereit bin, ihm zu gefallen,","Weil ich nur bereit bin, ihn zu befriedigen."
Perciò ch’e’ mi promise fermamente,Seit er mir feste Versprechen gegeben hat,Seit Sie mir konkrete Garantien gegeben haben
"Ched e’ mi metterebe in alto grado,","dass er mich an einen hohen Ort setzen würde,",Dass er mich in eine hohe Position bringen würde.
Sed i’ ’l servisse bene e lealmente».,Wenn ich ihm gut und treu dienen würde.,Wenn ich ihm gut und loyal dienen würde.
"Perché di lei i’ non pregiava  un dado,","Also kümmerte ich mich überhaupt nicht um sie,",Also war ich nicht an ihr interessiert.
Né su’ consiglio i’ non teneva a mente.,Ich habe mich weder an ihn erinnert noch habe ich seinen Rat befolgt.,Ich habe mich nicht an Ihren Vorschlag erinnert oder ihm gehorcht.
"Ragion si parte, udendomi parlare.","Nachdem ich zugehört habe, ist der Grund weg.","Nachdem ich zugehört habe, um zu reden, ist der Grund weg,"
E’ me fu ricordato ch’i’ avea,"Und ich erinnerte mich daran, dass ich","Ich wusste, dass ich..."
"Un grande Amico, lo qual mi solea","ein loyaler Freund, der mich in der Regel tröstete","Ein treuer Verbündeter, der mich gewöhnlich tröstete."
"In ognie mio sconforto confortare,","Jedes Mal, wenn ich mich unwohl fühlte.","Jedes Mal, wenn ich besorgt war"
"Sì ch’i’ no ’l misi guari a ritrovare,",Ich habe ihn ziemlich schnell gefunden.,Ich habe ihn schnell genug gefunden.
E disigli com’e’ si contenea,"und sagte ihm, wie er sich benahm.","Und er sagte zu ihm, wie er sich benahm: er handelte, operierte."
"Lo Schifo ver’ di me, e ch’e’ parea","Widerstand gegen mich, und das schien","Der Widerstand gegen mich, und das erschien"
Ch’al tutto mi volesse guereggiare.,"Er wollte nichts Besseres, als mit mir zu kämpfen.",Er wollte nur mit mir kollidieren.
"E que’ mi disse: «Amico, sta sicuro,","Und er sagte zu mir: Alter, mach dir keine Sorgen.","Er sagte zu mir: Genosse, fürchte dich nicht,"
Ché quello Schifo si à senpre in usanza,für es ist benutzerdefinierte Clostride-Resistenz,für es ist benutzerdefinierte Clostride-Resistenz
Ch’a cominciar   si mostra acierbo e duro.,um am Anfang bitter und hart zu sein.,Seien Sie bitter und steif zuerst.
Ritorna a•llui e non abie dottanza,Kehrt zu ihm zurück und fürchtet euch nicht:,Kehrt zu ihm zurück und fürchtet euch nicht.
"Con umiltà tosto l’avra’ maturo,","Wenn du Demut zeigst, wirst du ihn bald erweichen,","Wenn du Demut bekommst, wirst du sie schnell versüßen."
Già tanto non par   fel né san’ pietanza».,"Egal, wie grausam und rücksichtslos das klingt.","Egal, wie brutal und unerbittlich das klingt."
Tutto pien d’umiltà verso ’l giardino,Voller Sanftmut wandte ich mich dem Garten zu,Voller Milde wandte ich mich dem Garten zu.
"Torna’mi, con’ Amico avea parlato,","wie der Freund gesagt hat, dass ich sollte,","Wie der Freund vorgeschlagen hatte, dass ich sollte,"
"Ed i’ guardai, e sì ebi avisato",Und ich sah und sah,Ich schaute mich um und schaute mir die Vergangenheit an.
"Lo Schifo, con un gran baston di pino,","Widerstand, mit einem großen Club aus Kiefer,","Widerstand, mit einer riesigen Verbindung aus Kiefer."
"Ch’andava riturando ognie camino,","die jeden Durchgang blockierte,",die jeden Fortschritt behindert hat.
Che dentro a forza non vi fosse ’ntrato.,Damit ich nicht reingehen kann.,Damit ich nicht zugreifen konnte.
"Sì ch’io mi trassi a lui, e salutato",Also ging ich zu ihm und winkte ihm zu.,Auf diese Weise ging ich zu ihm und begrüßte ihn herzlich.
"Umile mente l’ebi a capo chino,","sanft mit gebogenem Kopf,",sanft mit dem verdrehten Kopf.
"E sì gli dissi: «Schifo, agie merzede","und sprach zu ihm: Widerspenstig, sei gnädig!","Und er sprach zu ihm: Zärtlichkeit, sei gnädig!"
"Di me, se ’nverso te feci alcun fallo,","über mich, wenn ich dir wehgetan habe,","über mich, wenn ich dir Schmerzen bereitet habe."
"Chéd i’ sì son venuto a pura fede,",Denn ich bin in gutem Glauben gekommen.,Weil ich in gutem Willen gekommen bin.
"A tua merzede,   e presto d’amendarlo».","um eure Barmherzigkeit zu bitten, und ich bin bereit, Wiedergutmachung zu leisten.","Bitten Sie um Ihre Gnade, und ich bin bereit, Buße zu tun."
"Que’ mi riguarda, e tuttor si provede","Er starrt mich an und versucht zu bestimmen, wie er es tut.","Er schaut mich an und versucht, wie er es tut,"
Ched i’ non dica ciò per inghanarlo.,"Wenn ich das sage, um ihn zu täuschen.","Wenn ich das sage, um ihn zu betrügen."
Sì com’i’ stava in far mia pregheria,Während ich um meinen Fall flehte,Während ich um mein Schicksal flehte
"A quel fellon, ch’è sì pien d’arditeza,","dem Grausamen, der so übereilt ist,","Dem Bösen, der so unklug ist."
"Lo Dio d’Amor sì vi mandò Francheza,",Der Gott der Liebe hat Aufrichtigkeit und Barmherzigkeit gesandt.,Der Göttliche des Affektes hat Aufrichtigkeit und Mitgefühl gesandt.
"Co•llei Pietà, per sua anbascieria.",auf eine besondere Mission in diesem Ort.,in einem außergewöhnlichen Geschäft in diesem Gebiet.
"Francheza   cominciò la dicieria,","Die Aufrichtigkeit hat ihre Rede begonnen,",Die Offenheit hat ihre Rede eingeweiht.
"E disse: «Schifo, tu•ffai straneza","und sprach: Widerstand, du bist unhöflicher","Wenn du dagegen kämpfst, bist du kränker."
"A quel valletto, ch’è pien di largheza,",dem jungen Vasallen so großzügig,"Dem jungen Diener, der so großmütig ist."
"E prode, e franco, sanza villania.","und tapfer und tapfer, und sicherlich nicht vulgär.","Kühn und furchtlos, und sicherlich nicht unbequem."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,Der Gott der Liebe möchte dich wissen lassen,Der Göttliche des Leidens möchte dich kennenlernen
"Che•ttu non sie sì strano al su’ sergiente,","um nicht so unhöflich zu seinem Knecht zu sein,","Um nicht so grob zu sein mit seinem Diener,"
"Ché gran peccato fa, chi lui inpaccia;","Denn wer ihm im Weg steht, der begeht eine große Sünde,","Denn wer es verhindert, begeht eine schwere Schuld."
Ma sòffera ch’e’ vada arditamente,Aber lass ihn frei gehen.,Aber lass ihn frei gehen.
"Per lo giardino, e no ’l metter in chaccia,","im Garten, nicht jagen","im Garten, nicht auswerfen"
"E guardi il Fior, che•ssì gli par aolente».","Und lassen Sie ihn die Blume sehen, die ihm so duftend erscheint.","und läßt ihn die Blume beobachten, die ihm so duftend erscheint."
"Pietà cominciò poi su’ parlamento,",Barmherzigkeit dann begann seine Rede,Gnade dann begann seine Rede
"Con lagrime bagniando il su’ visagio,","mit Tränen, die ihr Gesicht nass","mit Tränen, die sein Gesicht befeuchten"
"Diciendo: «Schifo, tu faresti oltragio","und sprach: Widerspenstig, du würdest schmählich werden.","Wenn du dich stellst, würdest du dich beleidigen."
Di non far grazia al meo domandamento.,Wenn ich meinen Antrag nicht annehmen würde.,Wenn ich meine Bitte nicht erhalte.
Pregar ti fo che•tti si’a piacimento,"Ich flehe dich an, dass du findest.","Ich flehe dich an, dass du es herausfindest."
"Ch’a quel valletto, ch’è•ssì buon e saggio,","nicht so grausam zu diesem jungen Vasallen zu sein,",Sei nicht so rücksichtslos zu diesem jungen Diener.
"Tu non sie verso lui così salvaggio,",Du bist nicht so gemein zu ihm.,Du bist ihm nicht so böse.
Ché sai ch’e’ non à mal intendimento.,"Weil du weißt, dass er keine schlechten Absichten hat.","Weil du weißt, dass er keine bösen Absichten hat."
"Or avén detto tutto nostr’affare,","Nun, wir haben Ihnen unsere Bedenken mitgeteilt,",Jetzt haben wir unsere Sorgen...
"E la cagion, per che no’ siàn venute.",Und warum wir herkamen:,"Und der Grund, warum wir ankamen:"
Molt’è crudel chi per noi non vuol fare!,"Grausam ist der, der nicht tun wird, was wir verlangen!","Unglaublich gleichgültig ist derjenige, der nicht das tun wird, was wir fordern!"
Ancor ti manda molte di salute,Er schickt dir noch viele Grüße.,Noch sendet er Ihnen seine herzlichsten Grüße.
"Il lasso, chu’ ti piaque abandonare.","Der arme Kerl, den du gern verlassen hast","Der Dreckskerl, den du gern verlassen hast"
Fa che nostre preghiere gli sian valute!».,Mögen ihm unsere Gebete helfen!,Mögen ihm unsere Bitten beistehen!
"Lo Schifo disse: «Giente messagiere,","Der Widerstand sagte: ""Adelige Boten,","""Der Widerstand verkündete: ""Verherrlichte Botschafter, """
Egli è ben dritto ch’a vostra domanda,"Es ist richtig, dass ich auf Ihre Bitte antworte.","Es ist richtig, dass ich Ihre Frage beantworte."
"I’ faccia grazia, e ragion lo comanda,","und tun Sie es mit Dank, die Vernunft befiehlt es,","Und tun Sie es freundlich, die Logik verlangt es."
"Ché voi non siete orgolliose né fiere,","weil ihr weder umsonst noch stolz seid,",Weil ihr weder anmaßend noch arrogant seid.
Ma siete molto nobili parliere.,Aber Sie sind sehr edle Redner.,Aber ihr seid sehr angesehene Redner.
"Vengha il valetto, e vada, a sua comanda,","Der junge Mann kann kommen und nach Belieben gehen,",Der junge Mann kann nach Belieben kommen und gehen.
"Ma non ched egli al Fior   sua mano ispanda,","Aber solange du nicht versuchst, die Blume zu berühren,","Solange Sie nicht versuchen, die Blume zu manipulieren."
"Ch’a•cciò no•gli varrian vostre preghiere,",denn deine Gebete werden ihm nicht helfen.,Weil deine Bitten ihm nicht helfen werden
"Perciò che•lla figluola Cortesia,","Deshalb die Tochter von Lady Courtesy,","Deshalb die Nachkommen von Lady Courtesy,"
"Bellacoglienza, ch’è dama del Fiore,","Schöne Begrüßung, die für die Blume verantwortlich ist,","Angenommen, er ist verantwortlich für die Blume."
Sì ’l mi porebe a gran ricredentia.,"Ich dachte, meine Manieren sind gut.","Ich dachte, meine Manieren seien höflich."
