Original,Translate,Translate_GPT_1
"Il cor, ch’e’ non avesse gielosia","le cœur, qu'il ne soit pas jaloux","Le cœur, qui n'était pas jaloux"
"Ched i’ fedel e puro i’ no•gli sia,",pour ne pas lui être fidèle,ne pas adhérer à lui
E senpre lui tener a Segniò•Maggio.,et que vous le reteniez toujours comme mon seigneur et maître.,et gardez-le toujours comme mon souverain et maître.
"Allor que’ prese il cor e disse: «Amico,",Puis il prit mon cœur et dit:,"Peu après, il prit mon cœur et déclara: ""Compagne."""
I’ son segnior assa’ forte a servire;,Je suis un homme très exigeant à servir.,Je suis un gentleman très exigeant à satisfaire.
"Ma chi mi serve, per cierto ti dico,","Mais en vérité, je vous le dis, celui dont j'ai besoin","En fait, je vous dis que j'ai besoin de quelqu'un."
"Ch’ala mia grazia non può già fallire,","Il ne manquera jamais de gagner ma faveur,",Il ne manquera jamais de gagner ma reconnaissance.
"E di buona speranza i’ ’l mi notrico,",et je le nourrirai d'une bonne espérance,et je le nourrirai d'optimisme
Infin ch’i’ gli fornischa su’ disire».,Jusqu'à ce que j'aie satisfait votre souhait.,Jusqu'à ce que j'aie satisfait votre désir.
Con una chiave d’oro mi fermò il core,"Avec une clé d'or, l'amour m'a fermé le cœur.","Avec une clé d'or, l'amour a scellé mon cœur,"
"L’Amor,    quando così m’ebe parlato,","L'amour, après m'avoir parlé,","L'amour, après m'avoir exposé,"
"Ma prima mente l’à nett’e parato,",mais avant tout il a purifié et préparé,"Tout d'abord, il a purgé et préparé."
Sì c’ogni’altro pensier n’à pinto fore.,pour qu'il chasse toutes les autres pensées.,afin qu'il exorcise toutes les autres pensées.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Et il me dit: Comme je suis ton Seigneur,","Puis il m'a dit: ""En tant que je suis ton Souverain."""
E tu sì sè di me fedel giurato.,Et tu es de moi un fidèle juré.,Tu es un témoin loyal pour moi.
Or guarda che ’l tu’ cuor    non sia ’mpacciato,Maintenant assurez-vous que votre cœur ne soit pas occupé,Assurez-vous que votre cœur n'est pas occupé.
Se non di fino e di leal amore.,avec loin d'être noble et vrai amour.,avec une passion bien loin d'être noble et sincère.
E pensa di portar in pacienza,Et n'oublie pas d'être patient.,Souviens-toi d'être patient.
"La pena, che per me avra’ a sofrire,","la peine que tu souffriras à cause de moi,",la punition que tu vas souffrir à cause de moi.
"Inanzi ch’io ti doni mia sentenza,",Avant que je te donne mon verdict.,Avant que je te donne ma sentence.
Ché molte volte ti parrà morire:,Que vous pensez souvent mourir:,Que vous rêvez souvent de l'extinction.
"Un’ora gioia avrai, altra, doglienza.","une heure tu seras heureuse, une autre triste,","Dans un instant, tu seras content, dans un autre mélancolique."
Ma po’ i’ dono argomento di guerire».,Mais je vous donne un remède pour guérir.,"Cependant, je vous offre ensuite un remède pour guérir."
Con grande umilitate e pacienza,Avec beaucoup d'humilité et de patience,Avec une grande humilité et une grande persévérance
"Promisi a Amor a sofferir sua pena,",J'ai promis à l'amour que je souffrirais de sa douleur.,J'ai promis à l'amour que je partagerais son tourment
"E c’ognie membro, ch’i’ avea, e vena","et que tous mes membres, que j'ai et veine","et que tous mes membres, que j'ai et artère"
Disposat’era a farli sua voglienza;,Ils étaient prêts à faire sa volonté.,elles étaient prêtes à exécuter son désir.
E solo a lui servire la mia credenza,Et c'est à lui seul que mon credo servira.,C'est à lui seul que ma foi sera dévouée.
"È ferma, né di ciò mai nonn-alena,",et ne cessera jamais de le faire:,et il n'arrêtera jamais de le faire.
"Insin ched i’ avrò spirito o lena,",Tant que je vivrai et respirerai,Jusqu'à ce que j'existe et que je respire.
I’ non farò da•cciò giama’ partenza.,Je ne m'éloignerai jamais de cette promesse.,Je ne m'écarterai jamais de cette déclaration.
"E quelli allor mi disse: «Amico meo,","Et ils me dit: Mon ami,","Et il me dit: Mon compagnon,"
I’ ò da•tte miglior pegnio che charte.,Ton gage est meilleur que n'importe quelle promesse écrite:,Votre symbole est supérieur à toute garantie écrite.
"Fa che m’adori, ched i’ son tu’ Deo,",Fais que tu m'aimes parce que je suis ton dieu.,Fais que tu me vénères parce que je suis ton divin.
"Ed ogn’altra credenza    metti a parte,",et mettre de côté toute autre foi:,"Abandonnez, abandonnez, tous les autres croyances."
"Né non creder né Lucha, né Matteo,","Ne crois pas Luc ou Matthieu,",Ne faites pas confiance à Luc ou à Matthieu.
"Né Marco, né Giovanni». Allor si parte.","Ni à Marc, ni à Jean, et il s'en va.","Ni à Marc, ni à Jean, et puis il s'en va."
"Partes’Amor, su’ ale battendo,","L'amour part avec un battement d'ailes,",L'amour commence par un battement d'ailes.
"E ’n poca d’or sì forte isvanoio,","Et en un instant, il a disparu si vite.","Et en un instant, elle s'est évanouie rapidement."
"Ched i’  no ’l vidi poi, né no•ll’udio,",que je ne l'ai plus jamais vu ni entendu;,Je ne l'ai plus vu ni entendu.
E•llui e ’l su’ soccorso ancor atendo.,Mais j'attends toujours lui et son aide.,Mais j'attends toujours de lui et de son aide.
Allor mi venni forte ristrignendo,Puis je me suis approché de plus en plus.,"Par la suite, je me suis rapproché de plus en plus."
"Verso del Fior, che•ssì forte m’ulio,",à la Fleur dont le parfum m'a sorcié,À la Fleur dont l'arôme m'a enchanté
"E per chu’ feci homagio a questo Dio,",et pour lesquels j'ai rendu hommage à ce dieu.,et pour lesquels j'ai voué mon dévouement à ce dieu.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","J'ai dit, qui m'empêche de l'arracher ?","J'ai demandé: ""Qui m'interdit de l'arracher ?"""
"Sì ch’i’ verso del Fior tesi la mano,","Et j'ai étendu ma main vers la Fleur,",Prothèsez votre main vers la Fleur.
"Credendolo  aver colto chitamente,",Je pensais pouvoir m'en sortir librement.,J'ai pensé que je pourrais m'en sortir facilement.
Ed i’  vidi venir un gran villano,Et j'ai vu un homme gros et impoli venir.,J'ai vu arriver un homme imposant et brusque.
Con una maza. E’ disse: «Or ti ste’ a mente,"avec un bâton dans la main, disant: Maintenant garder à l'esprit","Avec un bâton dans la main, disant: Souviens-toi maintenant."
"Ch’i’  son lo Schifo, e sì son ortolano","que je suis la Résistance, et que je suis le gardien","Je suis l'adversaire, et je garde la souveraineté."
D’esto giardin. I’  ti  farò dolente».,Je l'ai fait souffrir.,J'ai causé sa souffrance.
Molto vilmente mi buttò di fora,"Avec beaucoup d'impolitesse, il m'a jeté dehors,",Il m'a viré avec une grande grossièreté.
"Lo Schifo, crudo, fello e oltragioso,","la résistance cruelle, vicieuse et violente,","la résistance impitoyable, malveillante et brutale."
"Sì ch’e’ del Fior non cred’esser gioioso,","de sorte que je pense que je ne vais pas aimer avec la Fleur,",Pour que je ne sois pas satisfait de la Fleur.
Se Pietate e Francheza no•ll’acora.,Sauf si la miséricorde et la sincérité s'en vont avec lui.,Sauf si la compassion et l'honnêteté s'en vont avec lui.
"Ma prima, credo, converà ch’eo mora,","Mais avant que ça arrive, je pense que je vais mourir.","Avant que ça arrive, je pense que je vais mourir."
Perché ’l me’ cor stà tanto doglioso,depuis que mon cœur est dans tant de douleur,Parce que mon cœur est dans tant de souffrance.
"Di quel villan,  che stava là nascoso,",à cause de cet homme minable qui se cachait là-bas.,À cause de cet homme ringard qui se cachait là-bas.
Di chu’ non mi prendea guardia quell’ora.,et contre lesquels je n'ai pris aucune précaution à ce moment crucial.,et contre lesquels je n'ai pris aucune mesure de sécurité à ce moment décisif.
Or m’à messo in pensero e in dottanza,Ça m'a fait peur et m'a fait peur.,Ça m'a alarmé et effrayé.
"Di ciò, ched i’ credea aver per ciertano,",Pour ce que je croyais avoir,Pour ce que je pensais savoir avec certitude.
Sì c’or me ne par essere in bilanza.,J'ai l'impression qu'elle est en danger.,J'ai l'impression qu'elle est en danger.
"E tutto ciò m’à fatto quello strano,","Et tout ça, c'est ce sauvage qui m'a fait ça !","Et tout ça, c'est ce barbare qui m'a fait ça !"
"Ma di lui mi richiamo a Pietanza,","Mais je ferai appel à la miséricorde sur lui,",Je ferai appel à la compassion sur lui.
Che vengha a•llui collo spunton in mano.,pour qu'il puisse l'affronter avec sa lance à la main.,pour qu'il puisse l'affronter avec son épée.
"Se mastro Arghùs, che fecie la nave,","Si Maître Argus, qui a construit le navire","Si Maître Argus, qui a construit le navire"
"In che Giasòn  andò per lo tosone,","que Jason cherchait le Puce d'Or,",que Jason cherchait le Joyau d'Or
"E fecie a conto regole, e ragione,",et qui ont inventé les règles et la logique pour le calcul,et qui ont conçu les règles et la raisonnablesse pour le calcul
"E le diecie figure, com’on save,","et les dix signes numériques, comme chacun le sait,","Et les dix symboles numériques, comme tout le monde le sait, sont"
"Vivesse,  gli sarebe forte e grave","S'il était en vie, ce serait dur pour lui.","S'il était vivant, ce serait difficile pour lui."
"Multiplicar ben ognie mia quistione,",pour calculer tous les problèmes,"Explorer, calculer, toutes les questions."
"C’Amor mi move sanza mesprigione,","que l'Amour me donne, sans erreur.","que l'Amour me donne, sans faute."
"E di ciascuna porta esso la chiave,","Et pourtant, pour chaque porte à l'exhibition de la clé,","Cependant, pour chaque entrée, il y a sa clé."
Ed àllemi nel cor fermate e messe,Et elle les a mis dans mon cœur.,Elle les a gravés dans mon âme.
"Con quella chiavicella, ch’i’ v’ò detto,",Avec cette clé que je vous ai dit.,Avec la clé que je vous ai montrée.
Per ben tenermi tutte sue promesse.,pour tenir toutes ses promesses à moi.,pour s'acquitter de tous ses engagements avec moi.
"Perch’io a•ssue merzé tuttor mi metto,",C'est pourquoi je suis toujours prêt à faire ses ordres.,C'est pourquoi je suis toujours prêt à exécuter ses commandes;
"Ma ben vore’ che, quando gli piaciesse,","Cependant, je voudrais pour lui - chaque fois qu'il veut -","Cependant, je désire pour lui - chaque fois qu'il désire -"
"E’ m’allegiasse il mal, che•ssì m’à stretto.",pour soulager la douleur qui m'a conquis.,Pour atténuer les tourments qui m'ont attaqué.
"Dogliendomi in pensando del villano,",Pensant tristement à cette sauvage,Réfléchissez malinemment à cette sauvage
"Che•ssì vilmente dal Fior m’à lungiato,","qui, si sauvagement, m'a poursuivi de la Fleur,","qui me poursuivit si férocement de la Fleur,"
"Ed i’ mi riguardai dal dritto lato,",J'ai regardé sur mon côté droit.,J'ai examiné mon côté droit.
"E sì vid’i’ Ragion, col viso piano,","Et j'ai vu la raison, qui, avec le visage tranquille,","J'ai vu la logique, qui, avec une expression sereine,"
"Venir verso di me, e per la mano","Il vient vers moi, il m'a pris par la main.","Il s'approche de moi, il m'a attrapé par la main."
Mi prese e disse: «Tu•ssè sì smagrato!,"Il m'a pris et m'a dit: ""Tu es devenu si mince!","Il m'a saisi et a dit: ""Tu es devenu si maigre !"""
I’ credo che•ttu à’ troppo pensato,Je pense que tu en as trop pensé.,Je pense que tu as trop médité.
"A que’, che•tti farà gittar in vano,",En parlant de ce qui te fait travailler en vain:,Par rapport à ce qui rend votre travail inutile.
"Ciò è Amor, a chui dat’ài fidanza.","Cette personne est l'Amour, à qui tu as donné fidélité.","Cette personne est l'affection, à laquelle tu as donné fidélité."
"Ma•sse m’avessi avuto al tu’ consiglio,","Mais si j'avais écouté mon conseil,","Si j'avais suivi ma suggestion,"
"Tu non saresti gito co•llui a danza,",Tu n'allais pas danser avec lui.,Tu n'aurais pas dansé avec lui.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",Parce que tu peux être sûr que ce qu'il attrape,Parce que tu peux être sûr que ce qu'il dit
"Egli ’l tiene in tormento e malenanza,","Il se tient dans le tourment et la douleur,",Il se maintient dans le tourment et la souffrance.
Sì che su’ viso non è ’n mai vermiglio».,de telle sorte que son visage ne sera jamais rouge.,de telle sorte que son visage ne sera jamais rugueux.
Udendo che Ragion mi gastigava,Sentir que la raison me réprimandait,Écouter que la logique me réprimandait
"Perch’i’ al Die d’Amor era ’nservito,","pour mon esclavage au Dieu de l'Amour,","Pour ma dévotion au Dieu de l'affection,"
"Di ched i’ era forte inpalidito,","C'est pour ça que j'étais devenu si pâle,","C'est pour ça que j'étais devenu si pâle,"
"E sol perch’io a•llui troppo pensava,","et juste parce que j'ai trop pensé à lui,",C'est parce que j'ai trop réfléchi à lui.
"I’ le dissi: «Ragion, e’ no•mi grava","Je lui ai dit: ""C'est pourquoi la douleur qu'elle inflige ne pèse pas.""","Je lui ai dit: ""Raison, le tourment qu'elle cause n'est pas lourd."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","sur moi, parce que je vais bientôt guérir,","au sujet de moi, car je vais rapidement récupérer."
Ché questo mio signior lo m’à gradito».,Car mon seigneur me l'a promis.,Parce que mon souverain me l'a promis.
"E ch’era folle se più ne parlava,",Et cette raison était folle s'il n'arrêtait pas d'en parler.,Et cette motivation était folle s'il continuait à en parler.
"«Chéd i’ son fermo pur di far su’ grado,","Parce que je suis prêt à lui plaire,",Parce que je suis prêt à le satisfaire.
Perciò ch’e’ mi promise fermamente,Depuis qu'il m'a donné des promesses solides,Depuis qu'il m'a donné des garanties concrètes
"Ched e’ mi metterebe in alto grado,","qu'il allait me mettre dans un haut endroit,",qui me placerait dans une position élevée.
Sed i’ ’l servisse bene e lealmente».,Si je le servais bien et fidèlement.,Si je le servais parfaitement et loyalement.
"Perché di lei i’ non pregiava  un dado,","Donc, je ne me souciais pas du tout d'elle,","Donc, je ne me souciais pas d'elle."
Né su’ consiglio i’ non teneva a mente.,Je ne me suis pas souvenu et je n'ai pas suivi son conseil.,Je n'ai ni rappelé ni obéi à votre suggestion.
"Ragion si parte, udendomi parlare.","Après m'avoir entendu parler, la raison s'en va,","Après m'avoir écouté parler, la raison s'en va,"
E’ me fu ricordato ch’i’ avea,et je me suis souvenu que j'avais,J'ai réalisé que j'avais...
"Un grande Amico, lo qual mi solea","un ami loyal, qui me réconfortait généralement.","Un allié fidèle, qui me consolait d'habitude."
"In ognie mio sconforto confortare,",Chaque fois que je me sentais mal à l'aise.,à chaque fois que j'étais inquiet
"Sì ch’i’ no ’l misi guari a ritrovare,",Je l'ai trouvé assez vite.,Je l'ai trouvé assez rapidement.
E disigli com’e’ si contenea,et lui dit ce qu'il faisait.,"Et il lui dit ce qu'il faisait: il agissait, il opérait."
"Lo Schifo ver’ di me, e ch’e’ parea","la résistance à moi, et qui semblait","La résistance contre moi, et qui ressemblait"
Ch’al tutto mi volesse guereggiare.,Il ne voulait rien de mieux que de se battre avec moi.,"Tout ce qu'il voulait, c'était se battre avec moi."
"E que’ mi disse: «Amico, sta sicuro,","Et il m'a dit: ""Mec, ne t'inquiète pas,","Il me dit: Camarade, n'aie pas peur,"
Ché quello Schifo si à senpre in usanza,pour elle est Résistance Clostrides personnalisé,pour elle est Résistance Clostrides personnalisés
Ch’a cominciar   si mostra acierbo e duro.,pour être amer et dur au début.,Être amer et rigide d'abord.
Ritorna a•llui e non abie dottanza,Revenez le voir et n'ayez pas peur:,Revenez à lui et n'ayez pas peur.
"Con umiltà tosto l’avra’ maturo,","En faisant preuve d'humilité, tu l'adouciras bientôt,","Avec humilité, tu vas l'adorer rapidement."
Già tanto non par   fel né san’ pietanza».,Peu importe à quel point ça peut sembler cruel et impitoyable.,Peu importe à quel point c'est brutal et implacable.
Tutto pien d’umiltà verso ’l giardino,"Plein d'humilité, je me suis tourné vers le jardin.","Plein de douceur, je me suis tourné vers le jardin."
"Torna’mi, con’ Amico avea parlato,","Comme Ami avait dit que je devrais,","Comme l'a suggéré Ami,"
"Ed i’ guardai, e sì ebi avisato","Et j'ai regardé, et je l'ai vu.",J'ai examiné et passé en revue
"Lo Schifo, con un gran baston di pino,","Résistance, avec un grand club fait de pin,","Résistance, avec une énorme association de pins."
"Ch’andava riturando ognie camino,","qui bloquait chaque passage,",qui empêchait tout progrès.
Che dentro a forza non vi fosse ’ntrato.,Pour que je ne puisse pas entrer.,Pour que je ne puisse pas y accéder.
"Sì ch’io mi trassi a lui, e salutato","Alors, je me suis approché et je lui ai dit au revoir.",C'est ainsi que je me suis approché et je l'ai salué cordialement.
"Umile mente l’ebi a capo chino,","humblement avec la tête pliée,",Doucement avec la tête baissée.
"E sì gli dissi: «Schifo, agie merzede","Et il lui dit: Résistance, aie pitié.","Et il lui dit: Tenace, aie miséricorde."
"Di me, se ’nverso te feci alcun fallo,","sur moi, si je t'ai fait du mal,","Sur moi, si je t'ai fait mal."
"Chéd i’ sì son venuto a pura fede,",parce que je suis venu de bonne foi,Parce que je suis venu en bonne volonté.
"A tua merzede,   e presto d’amendarlo».","pour demander votre miséricorde, et je suis prêt à me racheter.","implorer votre clémence, et je suis prêt à faire pénitence."
"Que’ mi riguarda, e tuttor si provede","Il me fixe et, comme il le fait, essaie de déterminer","Il me regarde fixement et, comme il le fait, il essaie d'établir"
Ched i’ non dica ciò per inghanarlo.,Si je le dis pour le tromper.,Si je le dis pour le tromper.
Sì com’i’ stava in far mia pregheria,Pendant que je suppliais mon cas,Pendant que je suppliais mon destin
"A quel fellon, ch’è sì pien d’arditeza,","à ce cruel qui est si imprudent,",À ce méchant qui est si imprudent.
"Lo Dio d’Amor sì vi mandò Francheza,",le Dieu de l'Amour a envoyé la sincérité et sa miséricorde,Le Divin de l'Affectation a envoyé la sincérité et sa compassion.
"Co•llei Pietà, per sua anbascieria.",sur une mission spéciale à cet endroit.,dans une entreprise extraordinaire dans cette région.
"Francheza   cominciò la dicieria,","La sincérité a commencé son discours,",La franchise a ouvert son discours.
"E disse: «Schifo, tu•ffai straneza","en disant: Résistance, tu es plus impolie","En s'opposant, tu es plus brutal."
"A quel valletto, ch’è pien di largheza,",à ce jeune vassal si généreux,À ce jeune serviteur si magnanime.
"E prode, e franco, sanza villania.","et vaillant et courageux, et certainement pas vulgaire.","Audacieux et intrépide, et certainement pas inconvenant."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,Le Dieu de l'Amour veut te faire savoir,Le Divin de l'Affectation veut te faire connaître
"Che•ttu non sie sì strano al su’ sergiente,","pour ne pas être si impolie avec son serviteur,","Pour ne pas être aussi brusque avec son serviteur,"
"Ché gran peccato fa, chi lui inpaccia;","parce que celui qui l'entrave commet un grand péché,",Car celui qui l'empêche commet une grave faute.
Ma sòffera ch’e’ vada arditamente,Mais laisse-le partir librement.,mais laissez-le partir librement
"Per lo giardino, e no ’l metter in chaccia,","dans le jardin, ne le chasse pas","dans le jardin, ne pas l'expulser"
"E guardi il Fior, che•ssì gli par aolente».",et laissez-le regarder la fleur qui lui semble si parfumée.,et le laisse observer la fleur qui lui apparaît si parfumée.
"Pietà cominciò poi su’ parlamento,",Miséricorde a alors commencé son discours,Pitié a alors commencé son discours
"Con lagrime bagniando il su’ visagio,",avec des larmes qui baignent son visage,avec des larmes qui humidifient son visage
"Diciendo: «Schifo, tu faresti oltragio","en disant: Résistance, tu ferais des outrages","En affrontant, tu serais offensée."
Di non far grazia al meo domandamento.,Si je n'accepte pas ma demande.,Si je n'accepte pas ma supplication.
Pregar ti fo che•tti si’a piacimento,Je t'en supplie.,Je t'en supplie pour que tu découvres
"Ch’a quel valletto, ch’è•ssì buon e saggio,","de ne pas être aussi cruel envers ce jeune vassal,",de ne pas être aussi impitoyable envers ce jeune serviteur.
"Tu non sie verso lui così salvaggio,",Tu n'es pas si mauvais envers lui.,Tu n'es pas si mauvais envers lui.
Ché sai ch’e’ non à mal intendimento.,Parce que tu sais qu'il n'a pas de mauvaises intentions.,Parce que tu te rends compte qu'il n'a pas d'intentions malveillantes.
"Or avén detto tutto nostr’affare,","Maintenant, nous vous avons dit nos préoccupations,","Maintenant, nous avons exposé nos inquiétudes,"
"E la cagion, per che no’ siàn venute.",et la raison pour laquelle nous sommes venus:,et la raison pour laquelle nous sommes arrivés:
Molt’è crudel chi per noi non vuol fare!,C'est celui qui ne fera pas ce que nous demandons!,"Cruellement indifférent, c'est celui qui ne fera pas ce que nous demandons!"
Ancor ti manda molte di salute,Il t'envoie toujours des salutations.,Il t'envoie toujours ses salutations les plus cordiales.
"Il lasso, chu’ ti piaque abandonare.",Le pauvre homme que tu as aimé abandonner.,L'enfoiré que tu as aimé abandonner.
Fa che nostre preghiere gli sian valute!».,Que nos prières l'aident !,Que nos supplications l'assistent !
"Lo Schifo disse: «Giente messagiere,","La résistance dit: ""Messagers nobles,","""La résistance proclama: ""Ambassadeurs illustres,"
Egli è ben dritto ch’a vostra domanda,Il est juste que j'accède à votre demande.,Il est juste que je réponde à votre question.
"I’ faccia grazia, e ragion lo comanda,","et faites-le avec grâce, la raison l'ordonne,","et faites-le avec courtoisie, la logique l'exige."
"Ché voi non siete orgolliose né fiere,","parce que vous n'êtes ni vains ni orgueilleux,",Parce que vous n'êtes ni présomptueux ni arrogant.
Ma siete molto nobili parliere.,Mais vous êtes des orateurs très nobles.,Mais vous êtes des très illustres parleurs.
"Vengha il valetto, e vada, a sua comanda,","Le jeune peut venir et aller à volonté,",Le jeune peut arriver et partir à sa guise.
"Ma non ched egli al Fior   sua mano ispanda,","mais à condition que vous n'essayiez pas de toucher la Fleur,","Cependant, à condition qu'il n'essaye pas de manipuler la Fleur."
"Ch’a•cciò no•gli varrian vostre preghiere,",Car tes prières ne l'aideront pas.,Parce que tes supplications ne l'aideront pas.
"Perciò che•lla figluola Cortesia,","C'est pourquoi la fille de Lady Courtesy,","C'est pourquoi la progéniture de Lady Courtesy,"
"Bellacoglienza, ch’è dama del Fiore,","Beau accueil, qui est responsable de la Fleur,","Accepté, qui est responsable de la Fleur."
Sì ’l mi porebe a gran ricredentia.,Je pensais que mes bonnes manières.,Je pensais que mes manières courtoises.
Ma fate che•lla Dama al Die d’Amore,Mais faites que la dame du Dieu de l'Amour,Faites que la dame du Dieu de l'Affection
Faccia a Bellacoglienza pregheria,Faites un appel à Bellaccoglieza,"Faites un appel à Magnifique, Splendeur et Aventure."
"Di lui, e che•lle schaldi un poco il core».",de sorte que son cœur peut être réchauffé un peu.,afin que son cœur puisse être un peu revigoré.
"Quand’i’ vidi lo Schifo sì adolzito,","Quand j'ai vu comment la Résistance était molle,","Quand j'ai vu comment la Résistance était adoucie,"
"Che solev’esser più amar che fele,",qui était généralement plus amer que le fiel,qui était généralement plus abrupte que le poison
"Ed i’ ’l trova’ vie più dolcie che mele,","mais que j'ai trouvé beaucoup plus sucré que le miel,",mais que j'ai trouvé plus délicieux que le miel.
Sapiate ch’i’ mi tenni per guerito.,Tu devrais savoir que je me considérais guérie.,Tu devrais savoir que je me sentais guérie.
Nel giardin me n’andai molto gichito,Je suis allé dans le jardin très soumis.,Je suis allé dans le jardin très humble.
"Per dotta di misfar a quel crudele,","de peur d'offenser ce cruel,",C'est effrayant de frapper ce méchant.
E gli giurai a le sante,et je lui ai juré sur les saints,et je lui ai promis solennellement
Ch’e’ per me non sarebe mai marrito.,"qui, ne serait jamais angoissé.","qui, n'aurait jamais souffert d'inquiétude."
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Alors il m'a dit: ""Je veux vraiment que tu viennes.""","Alors il m'a dit: ""Je veux que tu viennes."""
"Dentr’al giardin[o], sì com’e’ ti piace,","dans le jardin, comme tu l'aimes,","à l'intérieur du jardin, car tu l'aimais bien."
Ma’ che lungi dal Fior le tue man tenghi.,Tant que tu gardes tes mains loin de la Fleur.,À condition que tu ne touches pas à la Fleur.
Le buone donne fatt’ànno far pacie,Les bonnes femmes ont établi la paix,Les gentilles femmes ont instauré la tranquillité.
"Tra me e te: or fa che•lla mantenghi,",entre vous et moi: maintenant assurez-vous de garder,Toi et moi: maintenant assurez-vous de préserver
Sì che verso di me non sie fallacie».,afin de ne pas trahir ma confiance.,Pour ne pas enfreindre ma loyauté.
"Venusso, ch’è socorso degli amanti,","Vénus, qui vient au secours des amoureux,","Vénus, qui accède à l'aide des amants,"
"Ven’ a Bellacoglienza col brandone,","Il est venu de Bell accueil avec une lampe de poche,",Il est venu de Bell avec une lanterne.
