Original,Translate
" Virtù diversa fa diversa lega col prezïoso corpo ch’ella avviva, nel qual, sì come vita in voi, si lega","La vertu si diversifiée se lie différemment au précieux corps stellaire auquel elle donne la vie, dans lequel elle se lie tout comme la vie en vous."
" Per la natura lieta onde deriva, la virtù mista per lo corpo luce come letizia per pupilla viva","Puisque la vertu acquise dans l'étoile provient d'une nature joyeuse, elle brille dans le corps stellaire comme la joie brille dans la pupille de l'œil"
" Da essa vien ciò che da luce a luce par differente, non da denso e raro","De cela découle le fait que la luminosité des astres est différente, pas de la densité différente"
" essa è formal principio che produce, conforme a sua bontà, lo turbo e ’l chiaro»","elle est le principe formel qui produit, d'une manière conforme à sa bonté, l'opacité et l'éclaircissement"
" Quel sol che pria d’amor mi scaldò ’l petto, di bella verità m’avea scoverto, provando e riprovando, il dolce aspetto",Ce soleil qui m'a échauffé la poitrine d'amour m'avait révélé le doux aspect de la vérité avec des arguments pour et contre
" e io, per confessar corretto e certo me stesso, tanto quanto si convenne leva’ il capo a proferer più erto","Et moi, pour confesser que j'avais corrigé mon erreur, et j'étais sûr d'avoir compris, je me suis levé la tête plus droite qu'il n'était nécessaire de parler."
" ma visione apparve che ritenne a sé me tanto stretto, per vedersi, che di mia confession non mi sovvenne","Mais il m'apparut une vision qui attira à lui mon regard si étroitement, pour la regarder, que je ne me souvenai plus de ma confession."
" Quali per vetri trasparenti e tersi, o ver per acque nitide e tranquille, non sì profonde che i fondi sien persi, ","Tout comme à travers des vitres transparentes et claires, ou à travers des eaux nettes et non troublées,"
" tornan d’i nostri visi le postille debili sì, che perla in bianca fronte non vien men forte a le nostre pupille","les reflets de nos visages évanescents reviennent qu'une perle sur un front blanc ne frappe pas moins faiblement nos yeux,"
 tali vid’ io più facce a parlar pronte,J'ai vu plus de visages de bienheureux prêts à parler.
 per ch’io dentro a l’error contrario corsi a quel ch’accese amor tra l’omo e ’l fonte,Alors j'ai couru dans l'erreur opposée à celle qui a allumé l'amour entre Narcisse et son image miroir dans l'eau
" Sùbito sì com’ io di lor m’accorsi, quelle stimando specchiati sembianti, per veder di cui fosser, li occhi torsi","Dès que j'ai vu des esprits, pensant que c'étaient des images, je me suis retourné pour voir à qui ils ressemblaient."
" e nulla vidi, e ritorsili avanti dritti nel lume de la dolce guida, che, sorridendo, ardea ne li occhi santi","et je ne vis rien, et je revins vers l'avant dans les yeux de ma douce conduite, qui, en souriant, brûlait dans son regard plein de sainteté."
" «Non ti maravigliar perch’ io sorrida», mi disse, ","Ne t'étonne pas si je souris de ta pensée enfantine, me dit-il,"
" «appresso il tuo püeril coto, poi sopra ’l vero ancor lo piè non fida, ma te rivolve, come suole, a vòto","depuis que votre intellect n'est pas encore sûr derrière la vérité, mais il vous fait tourner en rond comme d'habitude dans ces cas-là"
" vere sustanze son ciò che tu vedi, qui rilegate per manco di voto","Ce que tu vois, ce sont des créatures royales, reléguées ici pour défaut de vote."
 Però parla con esse e odi e credi,Alors parle-leur et crois tout ce que tu entendras.
 ché la verace luce che le appaga da sé non lascia lor torcer li piedi»,Car la vraie lumière qui les rend heureuses ne leur permet pas de s'éloigner de la vérité.
" E io a l’ombra che parea più vaga di ragionar, drizza’mi, e cominciai, quasi com’ uom cui troppa voglia smaga","Et je me suis tourné vers l'âme qui semblait plus désireuse de parler, et j'ai commencé, presque comme un homme affaibli par le désir excessif."
" «O ben creato spirito, che a’ rai di vita etterna la dolcezza senti che, non gustata, non s’intende mai, ","Ô esprit bien né, qui, aux rayons de la vie éternelle, ressent une douceur incompréhensible si elle n'est pas éprouvée,"
 grazïoso mi fia se mi contenti del nome tuo e de la vostra sorte»,J'aimerais que tu me dises ton nom et ton état.
" Ond’ ella, pronta e con occhi ridenti","Alors, elle est prête et souriante."
" «La nostra carità non serra porte a giusta voglia, se non come quella che vuol simile a sé tutta sua corte","Notre charité ne ferme pas la porte à un désir juste, comme celle de Dieu qui veut se ressembler à tout le Paradis."
 I’ fui nel mondo vergine sorella,"Dans le monde, j'étais une nonne."
" e se la mente tua ben sé riguarda, non mi ti celerà l’esser più bella, ","Et si tu réfléchis attentivement, le fait que je sois plus belle ne te cachera pas mon identité,"
" ma riconoscerai ch’i’ son Piccarda, che, posta qui con questi altri beati, beata sono in la spera più tarda","mais vous me reconnaîtrez comme Piccarda Donati, qui, posté ici avec ces autres bienheureux, sont dans le Ciel le plus lent"
" Li nostri affetti, che solo infiammati son nel piacer de lo Spirito Santo, letizian del suo ordine formati","Nos sentiments, qui ne sont enflammés que par le plaisir de l'Esprit Saint, se réjouissent de s'adapter à son ordre."
" E questa sorte che par giù cotanto, però n’è data, perché fuor negletti li nostri voti, e vòti in alcun canto»","Et notre condition, qui semble si basse, nous a été donnée parce que nos vœux ont été manqués et négligés dans certains aspects de la question."
 Ond’ io a lei,Alors je lui ai dit:
 «Ne’ mirabili aspetti vostri risplende non so che divino che vi trasmuta da’ primi concetti,"□Dans votre aspect merveilleux, il brille quelque chose de divin qui vous rend différent de ce que vous étiez en vie."
 però non fui a rimembrar festino,C'est pourquoi je n'ai pas été rapide à me souvenir
" ma or m’aiuta ciò che tu mi dici, sì che raffigurar m’è più latino","Mais maintenant, ce que tu me dis m'aide, afin que j'aie plus de facilité à me représenter ton visage."
 Ma dimmi,Qu'est-ce que tu racontes ?
" voi che siete qui felici, disiderate voi più alto loco per più vedere e per più farvi amici?»","vous qui êtes ici heureux, voulez-vous être dans un lieu plus élevé pour voir Dieu de plus près et être en plus grande communion avec Lui?"
 Con quelle altr’ ombre pria sorrise un poco,"Avec les autres âmes, il a d'abord souri un peu."
" da indi mi rispuose tanto lieta, ch’arder parea d’amor nel primo foco",puis elle me répondit si heureuse qu'elle semblait brûler dans l'amour de l'Esprit Saint
" «Frate, la nostra volontà quïeta virtù di carità, che fa volerne sol quel ch’avemo, e d’altro non ci asseta","Frère, la vertu de charité apaise notre volonté, et nous amène à vouloir seulement ce que nous avons et ne nous fait pas désirer d'autre"
" Se disïassimo esser più superne, foran discordi li nostri disiri dal voler di colui che qui ne cerne","Si nous désirions être plus haut, nos désirs seraient divisés par la volonté de Celui qui nous place ici."
" che vedrai non capere in questi giri, s’essere in carità è qui necesse, e se la sua natura ben rimiri","et vous verrez que cela n'est pas possible dans ces cieux, si ici vous devez être dans la charité et si vous observez bien la nature de la charité elle-même"
" Anzi è formale ad esto beato esse tenersi dentro a la divina voglia, per ch’una fansi nostre voglie stesse","Au contraire, à notre condition de bienheureux, il est essentiel de se conformer à la volonté divine, et tous nos désirs ne deviennent qu'un."
" sì che, come noi sem di soglia in soglia per questo regno, a tutto il regno piace com’ a lo re che ’n suo voler ne ’nvoglia","de sorte que tout le royaume aime la façon dont nous sommes disposés du Ciel au Ciel, et qu'il aime le roi qui nous invite à nous conformer à sa volonté."
 E ’n la sua volontade è nostra pace,Et dans sa volonté est notre paix
 ell’ è quel mare al qual tutto si move ciò ch’ella crïa o che natura face»,elle est la mer vers laquelle se déplace tout ce qu'elle crée ou que la nature produit
" Chiaro mi fu allor come ogne dove in cielo è paradiso, etsi la grazia del sommo ben d’un modo non vi piove","Il me fut alors clair que chaque point du Ciel est le Paradis, même si la grâce du grand bien n'y est pas irradiée d'une seule façon."
" Ma sì com’ elli avvien, s’un cibo sazia e d’un altro rimane ancor la gola, ","Mais comme c'est le cas lorsqu'une nourriture rassasiée et d'un autre reste le désir,"
" che quel si chere e di quel si ringrazia, così fec’ io con atto e con parola, ","quand on demande cela et qu'on le remercie, c'est ainsi que j'ai fait dans les actes et dans les paroles."
 per apprender da lei qual fu la tela onde non trasse infino a co la spuola,pour savoir d'elle quelle fut la toile dont il ne tira pas la navette jusqu'à la fin.
" «Perfetta vita e alto merto inciela donna più sù», mi disse, ","Une vie parfaite et un grand mérite placent dans un ciel plus élevé une femme, me dit-il,"
" «a la cui norma nel vostro mondo giù si veste e vela, ","selon la règle de la Terre, on s'habille et on prend le voile,"
