Original,Translate
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ",Qui vous a éclairé le chemin après avoir quitté les ténèbres de la gauche gouffre?
 Son le leggi d’abisso così rotte? ,Les règles de l'abîme sont - elles sans signification?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Un décret céleste a - t - il été promulgué selon lequel vous serez conduits, condamnés, vers les rochers que je garde?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Alors mon maître m'a pris, et avec ses paroles, mes mains et mes mouvements, il m'a poussé à m'agenouiller et à regarder en bas."
 Poscia rispuose lui,Il lui répondit plus tard.
 «Da me non venni,Je ne me suis pas présenté ici spontanément.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Une femme descendit du Ciel, et je donnai mes soins pour répondre à ses supplications."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","Compte tenu de votre désir d'être informé plus en détail de notre situation, il n'y a aucune raison pour que mon désir soit différent du vôtre."
 Questi non vide mai l’ultima sera,Cela n'a jamais cessé d'exister.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era","Si c'était le cas, il était si près du péché qu'il n'aurait pas voulu grand - chose pour qu'il le fasse."
" Sì com’ io dissi, fui mandato ad esso per lui campare","Comme je vous l'avais dit, on m'a envoyé l'aider."
 e non lì era altra via che questa per la quale i’ mi son messo,et il n'y avait pas d'autre chemin à suivre que ce que nous avons entrepris ensemble.
 Mostrata ho lui tutta la gente ria,Je lui ai montré tous ceux qui étaient condamnés.
 e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa,"Maintenant, je veux qu'il voie ces âmes qui grandissent spirituellement grâce à ta direction."
" Com’ io l’ho tratto, saria lungo a dirti",Ça aurait pris un certain temps pour t'expliquer comment je l'ai amené ici.
 de l’alto scende virtù che m’aiuta conducerlo a vederti e a udirti,"De là-haut, une présence bienfaisante me guide pour que je puisse me retrouver ici, toucher tes lèvres et écouter ta voix."
 Or ti piaccia gradir la sua venuta,Veuillez lui souhaiter la bienvenue à son arrivée.
" libertà va cercando, ch’è sì cara, come sa chi per lei vita rifiuta",il sacrifie sa vie pour atteindre la précieuse liberté
" Tu ’l sai, ché non ti fu per lei amara in Utica la morte, ove lasciasti la vesta ch’al gran dì sarà sì chiara","Tu sais que tu as donné ta vie pour obtenir la liberté à Utica, et qu'un jour ton corps vivra dans toute sa gloire."
" Non son li editti etterni per noi guasti, ché questi vive e Minòs me non lega","Nous n'enfreignons pas les ordonnances éternelles, car Dante est encore vivant et je suis libérée de la domination de Minos."
" ma son del cerchio ove son li occhi casti di Marzia tua, che ’n vista ancor ti priega, o santo petto, che per tua la tegni","Marzia, qui semble vous prier de continuer à l'aimer à travers ses yeux purs, vient du Cercle, oh cœur généreux."
 per lo suo amore adunque a noi ti piega,"en vertu de son amour, tourne-toi donc vers nous"
 Lasciane andar per li tuoi sette regni,Permettez-nous d'entreprendre un voyage à travers les Sept Gradini du Purgatoire.
" grazie riporterò di te a lei, se d’esser mentovato là giù degni»",J'apprécierai que tu acceptes d'être cité ci-dessous.
" «Marzïa piacque tanto a li occhi miei mentre ch’i’ fu’ di là», ","Ce que j'ai pu voir pendant mon existence, Marzia fut une source de plaisir pour mes yeux."
" diss’ elli allora, ",Il prononça ensuite ses paroles.
" «che quante grazie volse da me, fei",qu'il obtienne tout ce qu'il désire
" Or che di là dal mal fiume dimora, più muover non mi può, per quella legge che fatta fu quando me n’usci’ fora","Il ne peut plus toucher mes sentiments, en vertu de cette règle qui a été établie au moment de mon départ de l'autre côté de l'enfer fluvial."
" Ma se donna del ciel ti move e regge, come tu di’, non c’è mestier lusinghe","Si une femme chanceuse guide tes pas, il n'y a pas besoin de flatterie."
 bastisi ben che per lei mi richegge,S'il vous plaît en mon nom.
" Va dunque, e fa che tu costui ricinghe d’un giunco schietto e che li lavi ’l viso, sì ch’ogne sucidume quindi stinghe",Enroulez cette personne avec un jonc robuste et nettoyez son visage de toute saleté.
" ché non si converria, l’occhio sorpriso d’alcuna nebbia, andar dinanzi al primo ministro, ch’è di quei di paradiso",Il ne serait pas sage de se présenter au premier ministre du Paradis avec une certaine confusion dans l'esprit.
" Questa isoletta intorno ad imo ad imo, là giù colà dove la batte l’onda, porta di giunchi sovra ’l molle limo","Ce minuscule histome, dans lequel les vagues brisent leur mousse salée et leur biscuit, est ponctué de joncs sur la boue glissante."
" null’ altra pianta che facesse fronda o indurasse, vi puote aver vita, però ch’a le percosse non seconda","Aucune plante ne peut y pousser avec des frondes ou des troncs rigides, car elle ne serait pas en mesure de résister aux forces de la mer."
 Poscia non sia di qua vostra reddita,Ne revenez pas par là.
" lo sol vi mosterrà, che surge omai, prendere il monte a più lieve salita»","Avec l'album, le soleil vous donnera une indication claire sur la façon de trouver le chemin le plus facile pour atteindre la montagne."
 Così sparì,Il s'est soudainement évanoui.
" e io sù mi levai sanza parlare, e tutto mi ritrassi al duca mio, e li occhi a lui drizzai","Sans un mot, je me levai et allai vers mon maître, le regard tourné vers lui."
 El cominciò,Il s'est mis à courir.
" «Figliuol, segui i miei passi","Fils, prends exemple sur mes enseignements."
" volgianci in dietro, ché di qua dichina questa pianura a’ suoi termini bassi»","Retournons dans la direction opposée, car la plaine dans cette zone descend doucement au point le plus bas."
" L’alba vinceva l’ora mattutina che fuggia innanzi, sì che di lontano conobbi il tremolar de la marina","Le lever du soleil avait triomphé sur l'obscurité de la nuit, qui s'enfuyait en sa présence et je pouvais admirer, de loin, le mouvement rythmique de la surface de la mer."
" Noi andavam per lo solingo piano com’ om che torna a la perduta strada, che ’nfino ad essa li pare ire in vano","Nous marchions à travers la plaine désolée, comme quelqu'un qui retrouve enfin une route connue après avoir craint de ne jamais arriver à destination."
" Quando noi fummo là ’ve la rugiada pugna col sole, per essere in parte dove, ad orezza, poco si dirada, ","Quand nous sommes arrivés à la zone où la rosée duellait avec le soleil, car c'était là qu'il y avait une présence d'ombre et peu d'évaporation."
 ambo le mani in su l’erbetta sparte soavemente ’l mio maestro pose,"Mon maître posa ses mains sur l'herbe, à bras ouverts."
" ond’ io, che fui accorto di sua arte, porsi ver’ lui le guance lagrimose","Alors, moi qui savais ce qu'il voulait faire, je levai mon visage rayé de larmes vers lui."
 ivi mi fece tutto discoverto quel color che l’inferno mi nascose,Il m'a montré la couleur du visage que l'Enfer avait caché.
" Venimmo poi in sul lito diserto, che mai non vide navicar sue acque omo, che di tornar sia poscia esperto","Nous arrivâmes à la plage déserte, jamais aucun navigateur n'avait réussi à revenir en arrière une fois qu'il y eut débarqué."
 Quivi mi cinse sì com’ altrui piacque,"Comme Caton l'avait recommandé, Virgile m'a ceint."
 oh maraviglia,Quelle stupéfaction !
" ché qual elli scelse l’umile pianta, cotal si rinacque subitamente là onde l’avelse","Après avoir coupé la simple carte choisie, il vit celle-ci repousser instantanément au point de départ comme si elle était revenue à sa forme originelle."
 Già era ’l sole a l’orizzonte giunto lo cui meridïan cerchio coverchia Ierusalèm col suo più alto punto,"Le soleil se levait à l'horizon, au-dessus du point le plus haut de la ligne méridienne qui surplombe Jérusalem."
" e la notte, che opposita a lui cerchia, uscia di Gange fuor con le Bilance, che le caggion di man quando soverchia","Alors que la nuit n'est généralement pas plus longue que la journée, la position opposée au soleil a vu le Gange sortir de la Balance aux heures du soir."
" sì che le bianche e le vermiglie guance, là dov’ i’ era, de la bella Aurora per troppa etate divenivan rance","Les joues d'Aurora, une vision de blanc et rouge où je me trouvais, étaient teintes d'oranger avec le temps."
" Noi eravam lunghesso mare ancora, come gente che pensa a suo cammino, che va col cuore e col corpo dimora","Nous nous trouvions encore sur la plage, comme quelqu'un qui considère la route à parcourir, désireux mais hésitant d'agir."
" Ed ecco, qual, sorpreso dal mattino, per li grossi vapor Marte rosseggia giù nel ponente sovra ’l suol marino, ","Comme une matinée tardive, avec le ciel rempli de nuages épais et Mars qui s'enfuit du rouge au blanc tandis qu'il s'enfonce lentement vers l'horizon occidental en illuminant la surface de la mer."
" cotal m’apparve, s’io ancor lo veggia, un lume per lo mar venir sì ratto, che ’l muover suo nessun volar pareggia","C'est ainsi que j'ai vu une lumière qui sortait de la mer, plus rapide que n'importe quel oiseau volant."
" Dal qual com’ io un poco ebbi ritratto l’occhio per domandar lo duca mio, rividil più lucente e maggior fatto","Quand j'ai demandé à mon maître quelque chose, j'ai regardé de nouveau et j'ai vu qu'elle était plus lumineuse et plus grande."
" Poi d’ogne lato ad esso m’appario un non sapeva che bianco, e di sotto a poco a poco un altro a lui uscìo","Pendant que je regardais, une blanche luminosité indéfinie se répandit sur les côtés de la scène, suivie d'une autre qui apparut peu à peu sous elle."
" Lo mio maestro ancor non facea motto, mentre che i primi bianchi apparver ali",Mon maître est resté silencieux jusqu'à ce qu'il se soit avéré que la première touche de blanc était des ailes.
" allor che ben conobbe il galeotto, gridò","Quand il a rencontré ce marin, il m'a appelé."
" «Fa, fa che le ginocchia cali","Piega les genoux, vas-y !"
 Ecco l’angel di Dio,Voilà l'envoyé divin.
 piega le mani,Prends tes mains l'une dans l'autre.
 omai vedrai di sì fatti officiali,Il n'y aura plus de ministres de ce genre.
" Vedi che sdegna li argomenti umani, sì che remo non vuol, né altro velo che l’ali sue, tra liti sì lontani","Regardez comme il refuse les instruments construits par l'homme, ne voulant pas utiliser des rames ou d'autres voiles qui ne sont pas ses ailes, même lorsqu'il est dans des endroits aussi éloignés."
" Vedi come l’ha dritte verso ’l cielo, trattando l’aere con l’etterne penne, che non si mutan come mortal pelo»","Regarde comme il se libère dans le ciel, en fendant l'air avec ses plumes qui ne disparaissent pas comme celles des êtres humains."
" Poi, come più e più verso noi venne l’uccel divino, più chiaro appariva","Tandis que l'oiseau divin s'approchait de nous, notre vision de lui devint plus nette."
" per che l’occhio da presso nol sostenne, ma chinail giuso","Mes yeux n'étaient pas assez forts pour supporter le regard direct, alors j'ai été obligé de regarder vers le bas."
" e quei sen venne a riva con un vasello snelletto e leggero, tanto che l’acqua nulla ne ’nghiottiva","Il arriva sur le rivage avec un petit bateau léger, tellement qu'il ne touchait même pas à l'eau."
" Da poppa stava il celestial nocchiero, tal che faria beato pur descripto","Le gardien divin était au poste de conduite en poupe, et il était tel qu'une seule description de lui apporterait le bonheur."
 e più di cento spirti entro sediero,Plus de cent esprits étaient assis dans le bateau.
 ‘In exitu Isräel de Aegypto’ cantavan tutti insieme ad una voce con quanto di quel salmo è poscia scripto,"Tous chantaient à l'unisson le Psaume concernant la fuite d'Israël d'Égypte, y compris les versets suivants."
 Poi fece il segno lor di santa croce,"Et il les bénit, lui fit le signe de la croix."
 ond’ ei si gittar tutti in su la piaggia,Tout le monde s'est précipité sur la plage.
" ed el sen gì, come venne, veloce",Il remplaça rapidement à quel point ses pas avaient été rapides.
" La turba che rimase lì, selvaggia parea del loco, rimirando intorno come colui che nove cose assaggia","Le groupe d'âmes qui avaient été recueillies là semblait nouveau de la région, se regardant autour comme celui qui expérimentait quelque chose de frais."
" Da tutte parti saettava il giorno lo sol, ch’avea con le saette conte di mezzo ’l ciel cacciato Capricorno, ","Le soleil illuminait chaque partie du jour, après avoir chassé le Capricorne avec ses flèches infaillibles de la position centrale de l'univers céleste."
" quando la nova gente alzò la fronte ver’ noi, dicendo a noi","quand les nouveaux venus nous ont demandé de l'aide, ils nous ont dit qu'ils avaient faim."
" «Se voi sapete, mostratene la via di gire al monte»",Montrez-nous comment atteindre la montagne si vous connaissez le chemin.
 E Virgilio rispuose,Virgile lui a donné une réponse.
 «Voi credete forse che siamo esperti d’esto loco,Il se pourrait que vous pensiez que nous sommes des experts de cette région.
 ma noi siam peregrin come voi siete,Nous sommes des étrangers de la même façon que vous.
" Dianzi venimmo, innanzi a voi un poco, per altra via, che fu sì aspra e forte, che lo salire omai ne parrà gioco»",Nous sommes arrivés immédiatement avant vous sur un chemin si difficile à faire de l'ascension de la montagne un jeu d'enfant.
" L’anime, che si fuor di me accorte, per lo spirare, ch’i’ era ancor vivo, maravigliando diventaro smorte","Les âmes, découvrant que j'étais encore en vie en m'observant respirer, se régalèrent de l'émerveillement."
" E come a messagger che porta ulivo tragge la gente per udir novelle, e di calcar nessun si mostra schivo, ","La foule se serre autour du messager qui apporte des nouvelles de paix, et tous accourent volontiers."
" così al viso mio s’affisar quelle anime fortunate tutte quante, quasi oblïando d’ire a farsi belle","dans le LeteLes âmes chanceuses, comme si elles avaient oublié le besoin de purification dans le Lete, se rassemblèrent autour de mon visage."
" Io vidi una di lor trarresi avante per abbracciarmi con sì grande affetto, che mosse me a far lo somigliante","Quand l'une d'elles s'est présentée pour m'embrasser avec tant de chaleur, j'ai ressenti le besoin de lui rendre le geste."
" Ohi ombre vane, fuor che ne l’aspetto","Des ombres évanescentes, à part la forme extérieure."
" tre volte dietro a lei le mani avvinsi, e tante mi tornai con esse al petto","Trois fois j'ai essayé de l'embrasser avec mes mains, mais je trouvais toujours mes bras vides dans ma poitrine."
" Di maraviglia, credo, mi dipinsi",J'ai été très surpris.
" per che l’ombra sorrise e si ritrasse, e io, seguendo lei, oltre mi pinsi","L'ombre souriait, puis elle s'est éloignée et je suis allé un peu plus loin derrière elle."
 Soavemente disse ch’io posasse,Il m'a gentiment ordonné de m'arrêter.
" allor conobbi chi era, e pregai che, per parlarmi, un poco s’arrestasse","Alors je l'ai reconnu, et je lui ai demandé de rester un peu avec moi."
 Rispuosemi,Il m'a répondu.
" «Così com’ io t’amai nel mortal corpo, così t’amo sciolta","Mon amour, comme j'ai aimé ton essence physique, de même j'ai une profonde affection pour toi dans ma forme spirituelle."
 però m’arresto,C'est pourquoi je m'interromps.
 ma tu perché vai?»,Pourquoi es-tu ici ?
" «Casella mio, per tornar altra volta là dov’ io son, fo io questo vïaggio», diss’ io","""Je me dirige vers ce voyage pour retourner dans ma destination d'origine."""
 «ma a te com’ è tanta ora tolta?»,Pourquoi es-tu arrivé si tard ?
 Ed elli a me,"Moi, à lui."
" «Nessun m’è fatto oltraggio, se quei che leva quando e cui li piace, più volte m’ha negato esto passaggio","Aucun affront ne m'a été infligé, bien que l'ange, qui fait ce qu'il désire de manière arbitraire, m'ait empêché à plusieurs reprises d'atteindre cet endroit."
 ché di giusto voler lo suo si face,son désir correspond à ce qui a été établi par Dieu.
" veramente da tre mesi elli ha tolto chi ha voluto intrar, con tutta pace","Depuis trois mois, il l'a permis à tous ceux qui voulaient monter sur le bateau sans s'y opposer."
" Ond’ io, ch’era ora a la marina vòlto dove l’acqua di Tevero s’insala, benignamente fu’ da lui ricolto","Alors moi, en regardant vers l'océan où se jette le Tibre, j'ai été gentiment accueillie par lui."
" A quella foce ha elli or dritta l’ala, però che sempre quivi si ricoglie qual verso Acheronte non si cala»","Il se leva avec l'aile dans la direction de l'embouchure, car toute âme qui n'est pas destinée à la damnation tend toujours à atteindre ce lieu."
 E io,Je suis d'accord avec toi.
" «Se nuova legge non ti toglie memoria o uso a l’amoroso canto che mi solea quetar tutte mie doglie, ","alors je ne comprends pas si une loi n'a pas la capacité d'éliminer mon souvenir ou l'amour pour chanter, qui habituellement adoucissait tous mes besoins, alors je suis confus."
" di ciò ti piaccia consolare alquanto l’anima mia, che, con la sua persona venendo qui, è affannata tanto»","S'il vous plaît soulager un peu ma souffrance, car l'âme est fatiguée du long voyage effectué avec le corps physique."
" ‘Amor che ne la mente mi ragiona’ cominciò elli allor sì dolcemente, che la dolcezza ancor dentro mi suona","Alors il commença à chanter ""Amor que son esprit me raisonne"" si subtilement qu'il laisse un écho de cette mélodie encore en moi."
" Lo mio maestro e io e quella gente ch’eran con lui parevan sì contenti, come a nessun toccasse altro la mente","ou sentimentMon maître et moi, avec les âmes qui étaient avec lui, semblions si heureux, comme si aucune pensée ou sentiment n'avait troublé notre esprit."
 Noi eravam tutti fissi e attenti a le sue note,Nous écoutions tous attentivement la musique.
 ed ecco il veglio onesto gridando,Voici que vint le majestueux vieil homme qui criait.
" «Che è ciò, spiriti lenti? ","Qu'essayez-vous de dire, esprits lents ?"
" qual negligenza, quale stare è questo? ",Comment cette négligence et cette inertie peuvent - elles être décrites?
 Correte al monte a spogliarvi lo scoglio ch’esser non lascia a voi Dio manifesto»,Course vers la montagne pour devenir transparent qui ne t'empêchera pas de voir Dieu.
" Come quando, cogliendo biado o loglio, li colombi adunati a la pastura, queti, sanza mostrar l’usato orgoglio, ","Avec tranquillité, comme si l'action était une routine, les colombes se réunissaient pour manger à la fois biada et luge sans se vanter."
" se cosa appare ond’ elli abbian paura, subitamente lasciano star l’esca, perch’ assaliti son da maggior cura","Si quelque chose les met en alerte, ils ne font plus attention à la nourriture parce que la peur est devenue dominante."
" così vid’ io quella masnada fresca lasciar lo canto, e fuggir ver’ la costa, com’ om che va, né sa dove rïesca","Pendant que je regardais, j'ai vu ces âmes à peine arrivées s'éloigner de leurs chansons, et se diriger vers la montagne comme si elles n'avaient pas de destination spécifique."
 né la nostra partita fu men tosta,et notre fuite fut aussi rapide.
" Avvegna che la subitana fuga dispergesse color per la campagna, ","Bien que la fuite désespérée ait forcé les âmes à s'éloigner rapidement de la plage,"
" rivolti al monte ove ragion ne fruga, i’ mi ristrinsi a la fida compagna","vers le sommet où le jugement divin nous inquiète, je me suis attaché à ma direction digne de foi."
 e come sare’ io sanza lui corso? chi m’avria tratto su per la montagna? El mi parea da sé stesso rimorso,"Il a des remords, mais comment aurais-je pu monter dans la montagne sans lui ?"
" o dignitosa coscïenza e netta, come t’è picciol fallo amaro morso","Oh, conscience respectable et immaculée, avec quelle amertume vous punit même la plus petite erreur."
" Quando li piedi suoi lasciar la fretta, che l’onestade ad ogn’ atto dismaga, ","Quand ses pas s'éloignèrent de la frénésie qui réduit l'élégance à toute action,"
" la mente mia, che prima era ristretta, ","Mon esprit, qui était auparavant centré sur un seul concept, est maintenant libre de errer."
" lo ’ntento rallargò, sì come vaga, e diedi ’l viso mio incontr’ al poggio che ’nverso ’l ciel più alto si dislaga","Il s'ouvre comme un voile, et je me suis tourné vers la montagne qui se tenait plus haut que tous les autres vers le ciel."
" Lo sol, che dietro fiammeggiava roggio, rotto m’era dinanzi a la figura, ch’avëa in me de’ suoi raggi l’appoggio","Mon corps, qui se croisait entre moi et le soleil rouge-orange brillant dans mon dos, bloquait les rayons avant de m'atteindre."
" Io mi volsi dallato con paura d’essere abbandonato, quand’ io vidi solo dinanzi a me la terra oscura","Avec crainte d'être abandonné, je me suis tourné sur le côté, constatant l'ombre solitaire devant moi."
 e ’l mio conforto,Ma consolation
" «Perché pur diffidi?», a dir mi cominciò tutto rivolto","""Pourquoi ne me fais-tu pas confiance?"" m'a-t-il demandé avec beaucoup d'attention."
 «non credi tu me teco e ch’io ti guidi? Vespero è già colà dov’ è sepolto lo corpo dentro al quale io facea ombra,"C'est déjà le soir où reposent les restes de ce corps dont je projetais les ombres; ne penses-tu pas que je sois là pour toi, comme un guide?"
" Napoli l’ha, e da Brandizio è tolto",Il vient de Brindisi et se trouve à Naples.
" Ora, se innanzi a me nulla s’aombra, non ti maravigliar più che d’i cieli che l’uno a l’altro raggio non ingombra","Si mes épaules ne créent pas une ombre devant moi, alors il n'y aura plus rien qui puisse empêcher le soleil d'atteindre tous les coins du ciel."
" A sofferir tormenti, caldi e geli simili corpi la Virtù dispone che, come fa, non vuol ch’a noi si sveli","Dans l'obéissance à la volonté divine, les êtres corporels sont soumis à des tourments chauds et froids et nous ne sommes pas en mesure de comprendre comment il peut être rendu possible."
 Matto è chi spera che nostra ragione possa trascorrer la infinita via che tiene una sustanza in tre persone,Ceux qui croient que notre logique est capable de traverser la route infinie qui unit une seule essence divisée en trois personnes sont considérés comme fous.
" State contenti, umana gente, al quia","Acceptez ça, les gars."
" ché, se potuto aveste veder tutto, mestier non era parturir Maria","Si vous aviez pu tout observer, Marie n'aurait pas été obligée de donner naissance à Jésus."
" e disïar vedeste sanza frutto tai che sarebbe lor disio quetato, ch’etternalmente è dato lor per lutto","Des philosophes si profonds qu'ils semblent capables de satisfaire leur désir si possible, mais qu'ils ont finalement vu leurs idéaux échouer, bien qu'ils aient essayé avec diligence de les réaliser, représentent leur peine éternelle."
 io dico d’Aristotile e di Plato e di molt’ altri»,"Je fais référence à Aristote, Platon et à d'autres personnages."
" e qui chinò la fronte, e più non disse, e rimase turbato","À ce moment-là, il descendit la tête en silence, troublé; il n'ajouta rien d'autre."
 Noi divenimmo intanto a piè del monte,Nous nous étions arrêtés au pied de la montagne.
" quivi trovammo la roccia sì erta, che ’ndarno vi sarien le gambe pronte",Le mur rocheux était si raide qu'on aurait pu rêver de l'escalader avec nos jambes.
" Tra Lerice e Turbìa la più diserta, la più rotta ruina è una scala, verso di quella, agevole e aperta","Par rapport à cela, la roche la plus escarpée et la plus dure en Ligurie est un jeu d'enfant."
" «Or chi sa da qual man la costa cala», ",Je me demande quelle partie du mur est la moins inclinée maintenant.
" disse ’l maestro mio fermando ’l passo, ",Mon maître interrompit son pas et parla.
 «sì che possa salir chi va sanz’ ala?»,Comment ceux qui n'ont pas d'ailes peuvent - ils monter?
" E mentre ch’e’ tenendo ’l viso basso essaminava del cammin la mente, e io mirava suso intorno al sasso, ","Pendant qu'il s'arrêtait à réfléchir avec le regard bas, sur quelle route prendre, je scrutais le panorama environnant, au-dessus du rocher."
" da man sinistra m’apparì una gente d’anime, che movieno i piè ver’ noi, e non pareva, sì venïan lente","D'une direction à gauche, j'ai vu un groupe de personnes s'approcher de nous doucement et lentement."
" «Leva», diss’ io, «maestro, li occhi tuoi","J'ai crié Maître, lève-toi et regarde !"
" ecco di qua chi ne darà consiglio, se tu da te medesmo aver nol puoi»",Qui te guidera si tu n'es pas capable de trouver les réponses toi-même ?
" Guardò allora, e con libero piglio rispuose","Puis il se tourna, d'une manière sereine, et répondit."
" «Andiamo in là, ch’ei vegnon piano",Nous essayons de nous éloigner parce qu'ils avancent lentement vers nous.
" e tu ferma la spene, dolce figlio»","Réconforte ton espoir, bon fils"
" Ancora era quel popol di lontano, i’ dico dopo i nostri mille passi, quanto un buon gittator trarria con mano, ","Après avoir fait mille pas, il était encore si loin de nous qu'un bon lanceur ne pouvait pas y arriver avec une pierre jetée par la main."
" quando si strinser tutti ai duri massi de l’alta ripa, e stetter fermi e stretti com’ a guardar, chi va dubbiando, stassi","Ils se précipitèrent contre le rocher de la montagne, dans une sorte d'attente enthousiaste comme s'ils étaient indécis sur ce qu'il fallait faire."
" «O ben finiti, o già spiriti eletti», Virgilio incominciò, ",Virgile a commencé les esprits divins sélectionnés par la grâce de Dieu pour le salut.
" «per quella pace ch’i’ credo che per voi tutti s’aspetti, ditene dove la montagna giace, sì che possibil sia l’andare in suso","Indiquez-nous la voie la plus douce dans cette quête de paix, afin que nous puissions entreprendre l'ascension."
 ché perder tempo a chi più sa più spiace»,"Plus vous le connaissez, plus vous vous sentez coupable de ne pas aller de l'avant."
" Come le pecorelle escon del chiuso a una, a due, a tre, e l’altre stanno timidette atterrando l’occhio e ’l muso","Comme les brebis sortent de l'enclos, l'une après l'autre, tandis que celles qui restent sont craintives et baissent les yeux."
" e ciò che fa la prima, e l’altre fanno, addossandosi a lei, s’ella s’arresta, semplici e quete, e lo ’mperché non sanno","de son inertieSi la première s'arrêtait, calme et passive, les autres s'accrocheraient à elle sans même savoir pourquoi."
" sì vid’ io muovere a venir la testa di quella mandra fortunata allotta, pudica in faccia e ne l’andare onesta","Avec les yeux, je vis approcher de notre position le chef de ce groupe chanceux de personnes, qui avait l'air pudique et était animé d'une grande dignité."
" Come color dinanzi vider rotta la luce in terra dal mio destro canto, sì che l’ombra era da me a la grotta, ","Quand ils ont vu que mon profil se projetait sur le mur rocheux à droite,"
" restaro, e trasser sé in dietro alquanto, e tutti li altri che venieno appresso, non sappiendo ’l perché, fenno altrettanto","Ils s'arrêtèrent, prenant une certaine distance entre eux et les esprits qu'ils suivaient, sans savoir pourquoi."
 «Sanza vostra domanda io vi confesso che questo è corpo uman che voi vedete,"Je vous assure, sans que vous vous le demandiez, que ce corps est fait de chair et d'os."
 per che ’l lume del sole in terra è fesso,"son passage n'est pas annoncéL'ombre du soleil empêche l'arrivée de la luminosité, sa présence à terre n'est pas remarquée."
" Non vi maravigliate, ma credete che non sanza virtù che da ciel vegna cerchi di soverchiar questa parete»","Ne soyez pas surpris, mais considérez que Dante ne peut pas escalader ce mur sans la direction d'une énergie divine."
 Così ’l maestro,C'est ce qu'a dit le maître.
" e quella gente degna «Tornate», disse, «intrate innanzi dunque», coi dossi de le man faccendo insegna","Et ces âmes dignes ont exhorté à revenir en arrière, accompagnant leur conseil d'un signe des mains."
 E un di loro incominciò,L'un d'eux s'est mis à parler.
