input|target
I'm afraid that that might happen.|Temo che potrebbe succedere.
I just started to learn Esperanto.|Ho appena cominciato a imparare l'esperanto.
Tom showed his photo album to Mary.|Tom ha mostrato il suo album fotografico a Mary.
I haven't downloaded the files yet.|Io non ho ancora scaricato i file.
He traveled throughout the country.|Lui ha viaggiato attraverso il paese.
Tom has visited Australia before.|Tom ha già visitato l'Australia.
The company abandoned that project.|La ditta ha abbandonato quel progetto.
He is always looking to the future.|Lui guarda sempre verso il futuro.
He let the dog loose in the garden.|Ha liberato il cane nel giardino.
Drunk driving is a serious problem.|La guida in stato di ebrezza è un serio problema.
What do you think of this sweater?|Cosa ne pensi di questo maglione?
Why don't you play something for me?|Perché non suona qualcosa per me?
I don't want to be like my father.|Io non voglio essere come mio padre.
Tom said that he was really curious.|Tom disse che era veramente curioso.
Tom is still pretty young, isn't he?|Tom è ancora piuttosto giovane, vero?
Sometimes it's better not to know.|A volte è meglio non sapere.
Have you picked a name for the baby?|Hai scelto un nome per il bebè?
You'll make Tom a very happy man.|Renderete Tom un uomo molto felice.
You should discuss this with Tom.|Dovrebbe discutere di questo con Tom.
Where do you think I can find Tom?|Dove pensa che possa trovare Tom?
You shouldn't go to school tomorrow.|Non dovreste andare a scuola domani.
Tom didn't tell me his last name.|Tom non mi ha detto il suo cognome.
Tom is a very talented guitarist.|Tom è un chitarrista molto talentuoso.
Tom accompanied Mary on the guitar.|Tom accompagnò Mary alla chitarra.
Tom didn't show up for the meeting.|Tom non si è presentato alla riunione.
I don't want to go to the dentist.|Io non voglio andare dal dentista.
We adopted Tom when he was three.|Abbiamo adottato Tom quando aveva tre anni.
Let's start before the sun rises.|Cominciamo prima che sorga il sole.
Can you make it before the deadline?|Riesce a farla prima della scadenza?
What have you done with your car?|Cos'avete fatto con la vostra automobile?
They didn't even know what to do.|Non sapevano neanche che fare.
French is an interesting language.|Il francese è una lingua interessante.
I remember meeting them somewhere.|Ricordo di averli conosciuti da qualche parte.
I don't think that Tom is worried.|Io non penso che Tom sia preoccupato.
Tom's smarter than you, you know.|Tom è più intelligente di te, sai.
I have a lot more books than you do.|Io ho molti più libri di te.
He was sitting with his arms folded.|Era seduto con le braccia incrociate.
Did you have to rewrite the paper?|Tu hai dovuto riscrivere l'articolo?
Tom had to make a tough decision.|Tom ha dovuto prendere una decisione difficile.
Are there many clubs in your city?|Ci sono molti club nella vostra città?
Sunflowers are beautiful flowers.|I girasoli sono bei fiori.
Your being here means a lot to me.|La sua presenza qui vuole dire molto per me.
I'd like to have a word with you.|Vorrei scambiare due parole con lei.
That child threw a stone at the dog.|Quel bambino tirò una pietra al cane.
I planted a peach tree in my garden.|Ho piantato un pesco nel mio giardino.
Look into the matter more carefully.|Investigate la questione più attentamente.
I'll stay there till six o'clock.|Resterò là fino alle sei.
You're the only one I think about.|È l'unico a cui penso.
I can't tell you what my plans are.|Non posso dirti quali sono i miei piani.
If you eat too much, you'll get fat.|Se mangia troppo, diventerà grassa.
Would you answer a few questions?|Rispondereste a qualche domanda?
Tom came to pick me up after work.|Tom è venuto a prendermi dopo il lavoro.
Tom and Mary want to learn French.|Tom e Mary vogliono imparare il francese.
I don't want to talk to him anymore.|Io non voglio più parlare con lui.
Were you tired yesterday afternoon?|Eri stanco ieri pomeriggio?
She must have forgotten the promise.|Deve aver scordato la promessa.
She is usually at home on Sundays.|Di solito è a casa la domenica.
I hope to see you again before long.|Io spero di rivedervi presto.
Two glasses of apple juice, please.|Due bicchieri di succo di mela, per favore.
Come back when you have a warrant.|Tornate quando avete un mandato.
I have no idea who has to do that.|Io non ho idea di chi debba farlo.
Tom has already decided where to go.|Tom ha già deciso dove andare.
Tom's surgery lasted three hours.|L'intervento di Tom durò tre ore.
Why don't you come dancing with me?|Perché non venite a ballare con me?
I want to spend my life with Mary.|Voglio trascorrere la mia vita con Mary.
Maybe I shouldn't have done that.|Forse non avrei dovuto farlo.
I can't raise our child by myself.|Io non posso crescere nostra figlia da sola.
Tom believes anything is possible.|Tom crede che qualsiasi cosa sia possibile.
The flowers are at their best now.|I fiori sono al loro meglio adesso.
Tom can't speak very much French.|Tom non sa parlare molto il francese.
My mother told me to behave myself.|Mia madre mi ha detto di comportarmi bene.
The worst part of the trip is past.|La parte peggiore del viaggio è il passato.
You're the last hope for humanity.|Lei è l'ultima speranza per l'umanità.
You don't need to suffer in silence.|Non devi soffrire in silenzio.
The museum isn't open on Sundays.|Il museo non è aperto alla domenica.
Are you telling me you're not busy?|Mi stai dicendo che non sei occupata?
Tom didn't know what else to say.|Tom non sapeva che altro dire.
I want to finish this work by five.|Voglio finire questo lavoro per le cinque.
This bicycle belongs to my brother.|Questa bicicletta appartiene a mio fratello.
Are you for or against the project?|Sei favorevole o contraria al progetto?
Why are you dressed up like a clown?|Perché siete vestiti come un pagliaccio?
Twelve years old is old for a dog.|A dodici anni un cane è vecchio.
Do people in your country eat rice?|Le persone nel tuo paese mangiano riso?
The girl doesn't know how to do it.|La ragazza non sa come farlo.
He's better at the piano than I am.|Lui al piano è meglio di me.
Tom says he's never lied to Mary.|Tom dice di non aver mai mentito a Mary.
I didn't know Tom was so confused.|Non pensavo che Tom fosse così confuso.
Everybody knows that you're lying.|Lo sanno tutti che state mentendo.
Will you be free tomorrow afternoon?|Sarà libero domani pomeriggio?
You're going to be very proud of me.|Sarai molto orgoglioso di me.
Did you eat anything this morning?|Hai mangiato qualcosa stamattina?
I moved to a new office this week.|Mi sono trasferito in un nuovo ufficio questa settimana.
You're still a tailor, aren't you?|È ancora un sarto, vero?
The sculptures are of great value.|Le sculture sono di grande valore.
I just have a couple of questions.|Ho soltanto un paio di domande.
Tom is really busy now, isn't he?|Tom è veramente occupato adesso, vero?
Tom didn't feel like playing golf.|A Tom non andava di giocare a golf.
The Bible has it written like this.|La Bibbia l'ha scritto così.
It's a difficult topic to discuss.|È un argomento difficile da discutere.
Tom filled the bucket with water.|Tom riempì il secchio con dell'acqua.
I have recovered from my bad cold.|Mi sono ripreso dal mio brutto raffreddore.
I wish something nice would happen.|Vorrei che capitasse qualcosa di bello.
Did you reserve a room at the hotel?|Hai prenotato una stanza nell'albergo?
Tom and Mary were horrible parents.|Tom e Mary erano genitori orribili.
We should not ask a woman her age.|Non dovremmo chiedere a una donna la sua età.
I don't like the taste of tomatoes.|A me non piace il sapore dei pomodori.
After I watched TV, I went to bed.|Dopo aver guardato la TV sono andata a letto.
Why are you always late for school?|Perché siete sempre in ritardo per la scuola?
I really don't like Apple products.|Non mi piacciono proprio i prodotti Apple.
Tom said that Mary was quite heavy.|Tom disse che Mary era piuttosto pesante.
Tom assumed that Mary would be late.|Tom ha ipotizzato che Mary sarebbe stata in ritardo.
She went from one shop to another.|Andò da un negozio all'altro.
Why did you go there by yourself?|Perché è andata lì da sola?
None of the women knew what to do.|Nessuna delle donne sapeva cosa fare.
You don't want Tom to win, do you?|Voi non volete che Tom vinca, vero?
It's no use trying to convince Tom.|È inutile tentare di convincere Tom.
Tom is a friend of yours, isn't he?|Tom è un tuo amico, vero?
I wrote a lot in my diary yesterday.|Ho scritto molto nel mio diario ieri.
Why do you think Tom would do this?|Perché pensate che Tom farebbe questo?
You're still a barber, aren't you?|Sei ancora un barbiere, vero?
This book is mine. Where is yours?|Questo libro è mio. Dov'è il vostro?
I don't disagree with your decision.|Non sono in disaccordo con la tua decisione.
Soldiers are trained to use weapons.|I soldati vengono addestrati a utilizzare le armi.
Tom could retire if he wanted to.|Tom potrebbe andare in pensione se volesse.
What makes you think that'll work?|Che cosa ti fa pensare che funzionerà?
If something goes wrong, call Tom.|Se qualcosa va storto, chiami Tom.
I read a lot of books last summer.|Io ho letto molti libri la scorsa estate.
I haven't yet attempted to do that.|Non ho ancora provato a farlo.
Tom can eat pretty much anything.|Tom riesce a mangiare più o meno qualunque cosa.
You don't have to apologize to Tom.|Non devi scusarti con Tom.
Tom is pretty conceited, isn't he?|Tom è piuttosto presuntuoso, vero?
She had never seen New York before.|Non aveva mai visto New York prima.
Tom gave the homeless man some food.|Tom ha dato un po' di cibo al senzatetto.
Tom leaned down for a closer look.|Tom si chinò per uno sguardo più da vicino.
She has a large family to support.|Ha una grande famiglia da mantenere.
I don't know how to play the oboe.|Io non so suonare l'oboe.
I waste a lot of time daydreaming.|Perdo molto tempo a fantasticare.
Tom certainly was drunk last night.|Tom era sicuramente ubriaco ieri sera.
We can't sleep because of the noise.|Non riusciamo a dormire dal rumore.
Tom wants to ask us a few questions.|Tom vuole farci qualche domanda.
That actually makes a lot of sense.|In realtà ha molto senso.
How long have you been doing this?|Da quanto tempo lo state facendo?
She came in with tears in her eyes.|È entrata con le lacrime agli occhi.
It won't be easy, but it's possible.|Non sarà facile, però è possibile.
What's your favorite scary movie?|Qual è il tuo film dell'orrore preferito?
I'd like a room facing the garden.|Io vorrei una camera che dia sul giardino.
She advised him to become a teacher.|Gli ha consigliato di diventare un insegnante.
I know you used to live in Boston.|So che voi una volta vivevate a Boston.
You put far too much pepper in it.|Ci ha messo decisamente troppo pepe.
Thank you for your ongoing support.|Grazie per il suo supporto continuo.
You've read the report, haven't you?|Hai letto il rapporto, vero?
It's cool this morning, isn't it?|C'è fresco questa mattina, vero?
Why do you want to stop doing that?|Perché vuoi smettere di farlo?
Did Tom find what he was looking for?|Tom ha trovato quello che stava cercando?
You should get out once in a while.|Lei dovrebbe uscire di tanto in tanto.
I don't need to tell you anything.|Non devo dirle niente.
You should've done that yesterday.|Avrebbe dovuto farlo ieri.
Are you sure you can swim that far?|Sei sicuro di poter nuotare così lontano?
He was tired, but he kept working.|Era stanco ma portò avanti il lavoro.
Tom answered all of my questions.|Tom ha risposto a tutte le mie domande.
Tom seemed quite busy, didn't he?|Tom sembrava piuttosto occupato, vero?
Don't talk to your mother like that!|Non parli così a sua madre!
Tom is aware of his shortcomings.|Tom è consapevole dei suoi difetti.
Don't touch anything without asking.|Non toccate nulla senza chiedere.
I wasn't satisfied with the results.|Io non ero soddisfatta dei risultati.
I can't come to the phone right now.|Io non riesco a venire al telefono in questo momento.
Tom isn't as old as you think he is.|Tom non è anziano come pensa che sia.
Aren't you going to come tomorrow?|Non verrà domani?
Tom put the ice cream in the fridge.|Tom ha messo il gelato nel frigo.
How did you feel when that happened?|Come ti sei sentita quando è successo?
I helped my mother with the cooking.|Io ho aiutato mia madre a cucinare.
I wouldn't call that an improvement.|Non lo chiamerei un miglioramento.
Why didn't you bring an umbrella?|Perché non hai portato un ombrello?
Do you want to listen to the radio?|Vuoi ascoltare la radio?
Didn't you hear what Tom just said?|Non hai sentito quello che ha appena detto Tom?
Tom didn't even know Mary had left.|Tom non sapeva nemmeno che Mary era partita.
The long trip aggravated her injury.|Il lungo viaggio aggravò il suo infortunio.
Tom decided to take legal action.|Tom ha deciso di intraprendere un'azione legale.
You'll be busy tomorrow, won't you?|Sarete impegnate domani, vero?
Open the door and let the dog in.|Aprite la porta e lasciate entrare il cane.
He succeeded in solving the problem.|È riuscito a risolvere il problema.
Do you think there's a connection?|Lei pensa che ci sia una connessione?
Tom isn't very courageous, is he?|Tom non è molto coraggioso, vero?
My friend doesn't believe in ghosts.|Il mio amico non crede ai fantasmi.
The old man spoke to me in French.|L'uomo anziano mi ha parlato in francese.
They stayed in Rome till September.|Sono rimaste a Roma fino a settembre.
Tom has been offered a better job.|A Tom è stato offerto un impiego migliore.
I've always wanted to go to Boston.|Ho sempre voluto andare a Boston.
I'll stay here till you get back.|Io starò qui finché non ritorna.
I thought that I was your boyfriend.|Pensavo di essere il tuo ragazzo.
I don't know what that word means.|Non so cosa voglia dire quella parola.
I don't think that game's much fun.|Non penso che quella partita sia molto divertente.
How do you know that belongs to Tom?|Come sa che quello appartiene a Tom?
You've surprised a lot of people.|Voi avete sorpreso molte persone.
Write your name in capital letters.|Scriva il suo nome in stampatello.
Tom didn't answer all the questions.|Tom non ha risposto a tutte le domande.
Tom didn't know anyone at the party.|Tom non conosceva nessuno alla festa.
Tom started to unbutton his shirt.|Tom iniziò a sbottonarsi la camicia.
It is impossible for you to succeed.|È impossibile che lei riesca.
We're trying to find an antidote.|Stiamo cercando di trovare un antidoto.
Are we being charged with something?|Noi stiamo venendo accusati di qualcosa?
Tom and Mary are living together.|Tom e Mary stanno vivendo assieme.
You're a better musician than Tom.|Lei è un musicista migliore di Tom.
He was looking through a microscope.|Lui stava guardando attraverso un microscopio.
Does anyone here know Tom Jackson?|Qualcuno qui conosce Tom Jackson?
Who will you vote for for president?|Chi voterai come presidente?
Why can't Tom and I eat together?|Perchè io e Tom non possiamo mangiare assieme?
You want to leave here, don't you?|Vuoi partire da qui, vero?
Tom is complaining to the manager.|Tom si sta lamentando col direttore.
The land was converted into a park.|Il terreno venne convertito in parco.
Tom said he wanted to go swimming.|Tom ha detto che voleva andare a nuotare.
Have you ever spent time in Boston?|Lei ha mai trascorso del tempo a Boston?
Unfortunately, it's not that simple.|Sfortunatamente, non è così semplice.
I'm interested in oriental pottery.|Sono interessato alla ceramica orientale.
I'm likely to get home late tonight.|È probabile che stasera torni a casa tardi.
We stayed in Boston over Christmas.|Siamo stati a Boston per Natale.
He read the poem with a loud voice.|Lesse la poesia ad alta voce.
He had the nerve to ask for money.|Ebbe la sfrontatezza di chiedere dei soldi.
Tom is popular with the students.|Tom è popolare tra gli studenti.
We're getting married next spring.|Ci sposiamo la prossima primavera.
I have a lot more books than you do.|Ho molti più libri di voi.
Tom's dog slobbered on his pillow.|Il cane di Tom sbavò sul suo cuscino.
My father is very good at fishing.|Mio padre è molto bravo a pescare.
I plan to be in Boston next summer.|Io intendo essere a Boston la prossima estate.
Don't miss out on this opportunity.|Non perdete questa opportunità.
Tom doesn't need to worry anymore.|Tom non deve più preoccuparsi.
Could you give us an example, please?|Potrebbe farci un esempio, per favore?
Tom and Mary will know what to do.|Tom e Mary sapranno cosa fare.
Why don't you wait for me outside?|Perché non mi aspetta fuori?
It sounds impossible, but it's true.|Sembra impossibile, però è vero.
I had no idea that you were coming.|Non avevo idea che sareste venuti.
That nurse is very kind and polite.|Quell'infermiera è molto gentile ed educata.
Tom did all he could to help Mary.|Tom ha fatto tutto quello che poteva per aiutare Mary.
I have nothing to forgive you for.|Non ho nulla per cui perdonarvi.
She wrapped the present in paper.|Lei incartò il regalo con della carta.
Tom is sitting in front of the TV.|Tom è seduto di fronte alla TV.
His speech impressed us very much.|Il suo discorso ci ha impressionate molto.
Tom spends a lot of time studying.|Tom trascorre molto tempo a studiare.
I'm supposed to meet Tom at 2:30.|Dovrei incontrare Tom alle 2:30.
My apartment is in that building.|Il mio appartamento è in quell'edificio.
When will you come back to Boston?|Quando tornerà a Boston?
There was hardly anyone in the room.|C'era a malapena qualcuno nella stanza.
Do you know how to tie your shoes?|Voi vi sapete allacciare le scarpe?
He cut off a branch from the tree.|Tagliò un ramo dall'albero.
I've never hit anyone in my life.|Io non ho mai picchiato nessuno nella mia vita.
I nearly forgot to give it to Tom.|Mi sono quasi scordata di darlo a Tom.
If I had wings, I would fly to you.|Se avessi le ali, volerei verso di te.
I don't think that was the problem.|Io non penso che quello fosse il problema.
Do you want me to tell you a story?|Volete che vi racconti una storia?
Tom reminisced about the old days.|Tom ricordava i vecchi tempi.
Please bring us two cups of coffee.|Per piacere, ci porti due tazze di caffè.
It isn't polite to stare at people.|Non è educato fissare le persone.
Both Tom and Mary like to play golf.|Sia a Tom che a Mary piace giocare a golf.
My friend was arrested for speeding.|La mia amica venne arrestata per eccesso di velocità.
Tom is responsible for the accident.|Tom è responsabile dell'incidente.
This is the place I told you about.|Questo è il posto di cui ti ho parlato.
What's the nature of your problem?|Qual è la natura del vostro problema?
Bela Lugosi acted in several movies.|Bela Lugosi recitò in diversi film.
Tom disappeared three months ago.|Tom è scomparso tre mesi fa.
His salary is 250,000 yen per month.|Il suo stipendio è di 250.000 yen al mese.
Tom is jealous of Mary's friends.|Tom è geloso degli amici di Mary.
I think French grammar is difficult.|Io penso che la grammatica francese sia difficile.
Mary is wearing a short skirt today.|Mary sta indossando una gonna corta oggi.
Can we change the subject, please?|Possiamo cambiare l'argomento, per favore?
Would you like to be an astronaut?|Vorresti essere un astronauta?
Tom can use my bicycle if he wants.|Tom può usare la mia bicicletta se vuole.
When will you come back to Italy?|Quando tornerete in Italia?
Are you connected to the internet?|Siete connessi ad Internet?
Why are you giving me this money?|Perché mi sta dando questo denaro?
Tom deserves to lose his license.|Tom merita di perdere la sua licenza.
He's been sick in bed for four days.|È stato a letto malato per quattro giorni.
Tom, call Mary as soon as possible.|Tom, chiama Mary appena possibile.
It sounds like you had a great time.|Sembra che voi vi siate divertite molto.
We don't have to tell Tom anything.|Non abbiamo nulla da dire a Tom.
You're going to be very proud of me.|Sarà molto orgoglioso di me.
Tom gave me all the help I needed.|Tom mi ha dato tutto l'aiuto che mi serviva.
Tom thought that my idea was crazy.|Tom pensava che la mia idea fosse pazza.
What did you eat for lunch today?|Cos'hai mangiato per pranzo oggi?
This doesn't remind me of anything.|Questo non mi ricorda nulla.
May I ask you a personal question?|Posso farvi una domanda personale?
We can't sleep because of the noise.|Non possiamo dormire a causa del rumore.
Mary is the perfect girl for you.|Mary è la ragazza perfetta per voi.
He was always faithful to his wife.|Fu sempre fedele a sua moglie.
You put too much sugar in your tea.|Voi mettete troppo zucchero nel vostro tè.
Do you know why this is happening?|Sapete perché questo sta accadendo?
Nothing is achieved without effort.|Nulla si ottiene senza sforzo.
I wish that Tom would stop smoking.|Vorrei che Tom smettesse di fumare.
It probably wouldn't have helped.|Probabilmente non avrebbe aiutato.
Do you know how to play the banjo?|Lei sa suonare il banjo?
The two answers are both correct.|Le due risposte sono entrambe corrette.
I didn't think that Tom would win.|Io non pensavo che Tom avrebbe vinto.
Please bring us two cups of coffee.|Per piacere, portaci due tazzine di caffè.
You seem to know a lot about Boston.|Sembri sapere molto su Boston.
Tom is too young to know the truth.|Tom è troppo giovane per conoscere la verità.
Will you translate this into French?|Tradurrà questa in francese?
Tom and I do many things together.|Io e Tom facciamo molte cose assieme.
He uses the same dictionary as I do.|Lui usa lo stesso dizionario che uso io.
What's your favorite free iPad app?|Qual è la vostra applicazione gratuita per iPad preferita?
Tom is going to make a good father.|Tom sarà un buon padre.
Would you mind my opening the door?|Vi dispiacerebbe se apro la porta?
Don't treat me as if I were a child.|Non trattatemi come se fossi una bambina.
She passed away yesterday afternoon.|È morta ieri pomeriggio.
We have four French classes a week.|Noi abbiamo quattro lezioni di francese alla settimana.
Tom is putting on weight, isn't he?|Tom sta mettendo su peso, vero?
My ear was bleeding this morning.|Mi stava sanguinando l'orecchio stamattina.
The teacher collected the papers.|La professoressa raccolse gli esami.
Tom bought two copies of the book.|Tom ha comprato due copie del libro.
Although Tom is sick, he's swimming.|Anche se Tom è malato, sta nuotando.
Tom didn't sleep a wink last night.|Tom non ha chiuso occhio la scorsa notte.
Tom died with a knife in his back.|Tom morì con un coltello nella schiena.
Did you come here to help me or not?|Sei venuto qui per aiutarmi o no?
I don't think I've seen you before.|Non penso di avervi viste prima.
Do you mind if I turn off the light?|Le dispiace se spengo la luce?
Why don't you clean your room now?|Perché non pulisce la sua stanza adesso?
Why didn't you tell us this earlier?|Perché non ci avete detto questo prima?
I am a student at Hyogo University.|Sono una studentessa all'Università di Hyogo.
Tom sounded a little disappointed.|Tom sembrava un po' deluso.
Do you know Tom's girlfriend's name?|Lo sai il nome della fidanzata di Tom?
You must overcome the difficulties.|Devi superare le difficoltà.
Can you tell silver and tin apart?|Tu riesci a distinguere l'argento dallo stagno?
We had guests for dinner yesterday.|Abbiamo avuto ospiti per cena ieri.
Today's low was 3 degrees Celsius.|La temperatura minima di oggi è stata di 3 gradi Celsius.
I told you to stop calling me that.|Le ho detto di smettere di chiamarmi così.
Korean food is generally very hot.|Il cibo coreano è generalmente molto piccante.
They're treating me like a child.|Loro mi stanno trattando come una bambina.
May I have a glass of wine, please?|Posso avere un bicchiere di vino, per piacere?
Would you excuse us for a moment?|Ci scusereste per un momento?
You'd better knuckle down to work.|Vi dovreste mettere sotto a lavorare.
I can't believe Tom has really gone.|Non riesco a credere che Tom se ne sia andato davvero.
Tom died in prison ten years ago.|Tom è morto il prigione dieci anni fa.
